Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
Iñaki Williams,9,gh GHA,FW,25-062,87,0,0,0,0,3,2,0,0,21.0,0.0,0,1.0,0.1,0.1,0.0,2.0,0.0,8.0,13.0,61.5,1.0,16.0,2.0,1.0,1.0,1,2019-2020
   Aritz Aduriz,20,es ESP,FW,38-186,3,1,0,0,0,1,1,0,0,2.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2019-2020
Iker Muniain,10,es ESP,LW,26-240,90,0,0,0,0,0,0,0,0,23.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,76.5,1.0,8.0,1.0,2.0,1.0,1,2019-2020
Óscar de Marcos,18,es ESP,RW,30-124,65,0,0,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,40.0,1.0,9.0,0.0,0.0,0.0,1,2019-2020
   Oihan Sancet,34,es ESP,"AM,RW",19-113,25,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,1,2019-2020
Raúl García,22,es ESP,"AM,RW",33-036,90,0,0,0,0,2,1,0,0,47.0,1.0,2,1.0,0.1,0.1,0.0,2.0,1.0,17.0,32.0,53.1,5.0,15.0,1.0,0.0,0.0,1,2019-2020
Dani García,14,es ESP,DM,29-084,90,0,0,0,0,0,0,0,0,37.0,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,20.0,22.0,90.9,1.0,13.0,0.0,1.0,1.0,1,2019-2020
Unai López,8,es ESP,DM,23-290,80,0,0,0,0,3,1,0,0,49.0,0.0,1,2.0,0.1,0.1,0.0,1.0,0.0,28.0,39.0,71.8,2.0,25.0,2.0,1.0,1.0,1,2019-2020
   Beñat Etxebarria,7,es ESP,DM,32-178,10,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,1,2019-2020
Yuri Berchiche,17,es ESP,LB,29-187,90,0,0,0,0,1,0,0,0,40.0,0.0,4,0.0,0.0,0.0,0.1,4.0,0.0,25.0,33.0,75.8,4.0,20.0,3.0,0.0,0.0,1,2019-2020
Yeray Álvarez,5,es ESP,CB,24-204,90,0,0,0,0,1,0,0,0,29.0,1.0,1,2.0,0.1,0.1,0.0,1.0,0.0,15.0,22.0,68.2,1.0,17.0,0.0,0.0,0.0,1,2019-2020
Unai Núñez,3,es ESP,CB,22-198,90,0,0,0,0,0,0,1,0,35.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,2.0,15.0,0.0,2.0,1.0,1,2019-2020
Ander Capa,21,es ESP,RB,27-189,90,0,1,0,0,0,0,0,0,53.0,0.0,1,3.0,0.0,0.0,0.1,3.0,1.0,28.0,42.0,66.7,2.0,27.0,6.0,3.0,0.0,1,2019-2020
