player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season,Equipo,unique_id,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Thibaut Courtois,1,be BEL,GK,30-263,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,2022-2023,Real Madrid ,Thibaut Courtois_Real Madrid _19,3.0,0.0,3.0,100.0,0.2,5.0,9.0,55.6,35.0,7.0,25.7,29.0,3.0,0.0,21.0,4.0,0.0,0.0,3.0,29.7
Álex Remiro,1,es ESP,GK,27-311,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,2022-2023,Real Sociedad ,Álex Remiro_Real Sociedad _19,7.0,0.0,7.0,100.0,0.7,5.0,21.0,23.8,34.0,2.0,47.1,37.4,8.0,62.5,51.6,19.0,0.0,0.0,0.0,
Filip Jørgensen,35,dk DEN,GK,20-289,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,2022-2023,Villarreal ,Filip Jørgensen_Villarreal _19,3.0,1.0,2.0,66.7,0.7,0.0,4.0,0.0,28.0,5.0,14.3,23.3,7.0,0.0,13.3,13.0,1.0,7.7,0.0,8.7
Stole Dimitrievski,1,mk MKD,GK,29-036,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,19,2022-2023,Rayo Vallecano ,Stole Dimitrievski_Rayo Vallecano _19,3.0,0.0,3.0,100.0,0.6,8.0,18.0,44.4,20.0,4.0,50.0,38.8,11.0,72.7,51.6,9.0,2.0,22.2,2.0,13.0
Rui Silva,13,pt POR,GK,28-359,90,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,17,2022-2023,Betis ,Rui Silva_Betis _17,3.0,2.0,1.0,33.3,1.8,4.0,17.0,23.5,25.0,5.0,56.0,43.0,7.0,42.9,38.4,8.0,0.0,0.0,1.0,17.3
Marc-André ter Stegen,1,de GER,GK,30-277,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,2022-2023,Barcelona ,Marc-André ter Stegen_Barcelona _17,1.0,1.0,1.0,0.0,0.0,2.0,4.0,50.0,33.0,4.0,6.1,25.3,4.0,50.0,46.0,7.0,0.0,0.0,1.0,17.0
Thibaut Courtois,1,be BEL,GK,30-267,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,2022-2023,Real Madrid ,Thibaut Courtois_Real Madrid _17,0.0,0.0,0.0,,0.0,2.0,3.0,66.7,21.0,4.0,9.5,23.5,4.0,25.0,23.8,10.0,2.0,20.0,3.0,16.0
Giorgi Mamardashvili,25,ge GEO,GK,22-126,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,17,2022-2023,Valencia ,Giorgi Mamardashvili_Valencia _17,7.0,2.0,5.0,71.4,1.5,8.0,19.0,42.1,22.0,2.0,63.6,44.3,8.0,62.5,50.6,11.0,1.0,9.1,1.0,9.7
Unai Simón,1,es ESP,GK,25-237,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Athletic Club ,Unai Simón_Athletic Club _20,3.0,1.0,2.0,66.7,1.4,7.0,15.0,46.7,14.0,4.0,57.1,44.8,12.0,58.3,49.0,15.0,2.0,13.3,0.0,6.5
Jeremías Ledesma,1,ar ARG,GK,29-355,90,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,20,2022-2023,Cádiz ,Jeremías Ledesma_Cádiz _20,9.0,4.0,5.0,55.6,2.9,5.0,14.0,35.7,32.0,5.0,34.4,33.6,6.0,50.0,45.2,8.0,0.0,0.0,2.0,16.3
Álvaro Fernández,25,es ESP,GK,24-297,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,20,2022-2023,Espanyol ,Álvaro Fernández_Espanyol _20,3.0,1.0,2.0,66.7,1.3,8.0,25.0,32.0,32.0,4.0,59.4,43.8,6.0,100.0,66.0,18.0,0.0,0.0,3.0,21.2
Aitor Fernández,25,es ESP,GK,31-277,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.0,20,2022-2023,Osasuna ,Aitor Fernández_Osasuna _20,4.0,1.0,3.0,75.0,1.5,5.0,12.0,41.7,35.0,13.0,28.6,32.9,8.0,25.0,30.4,18.0,2.0,11.1,2.0,11.5
Édgar Badía,13,es ESP,GK,30-357,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Elche ,Édgar Badía_Elche _20,2.0,1.0,1.0,50.0,1.4,4.0,14.0,28.6,11.0,1.0,72.7,51.0,6.0,100.0,61.5,13.0,2.0,15.4,0.0,6.5
Pepe Reina,1,es ESP,GK,40-157,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Villarreal ,Pepe Reina_Villarreal _20,7.0,3.0,4.0,85.7,3.5,3.0,6.0,50.0,34.0,4.0,8.8,20.2,5.0,60.0,39.2,8.0,1.0,12.5,2.0,23.0
Jan Oblak,13,si SVN,GK,30-028,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Atlético Madrid ,Jan Oblak_Atlético Madrid _20,1.0,1.0,0.0,100.0,1.0,3.0,15.0,20.0,27.0,5.0,33.3,31.6,7.0,85.7,55.0,5.0,0.0,0.0,3.0,27.8
David Soria,13,es ESP,GK,29-306,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,20,2022-2023,Getafe ,David Soria_Getafe _20,4.0,1.0,3.0,75.0,0.6,16.0,33.0,48.5,27.0,2.0,81.5,50.7,11.0,100.0,65.5,29.0,3.0,10.3,0.0,6.3
Rui Silva,13,pt POR,GK,28-362,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Betis ,Rui Silva_Betis _20,6.0,4.0,2.0,33.3,2.3,6.0,12.0,50.0,20.0,1.0,50.0,35.5,5.0,40.0,44.4,8.0,1.0,12.5,1.0,26.0
Iván Villar,13,es ESP,GK,25-210,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,20,2022-2023,Celta Vigo ,Iván Villar_Celta Vigo _20,7.0,3.0,4.0,71.4,3.0,7.0,20.0,35.0,24.0,5.0,50.0,31.9,8.0,100.0,62.0,14.0,0.0,0.0,1.0,19.5
Predrag Rajković,1,rs SRB,GK,27-097,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,20,2022-2023,Mallorca ,Predrag Rajković_Mallorca _20,1.0,0.0,0.0,100.0,1.0,21.0,39.0,53.8,28.0,1.0,85.7,57.8,15.0,100.0,66.3,27.0,1.0,3.7,0.0,3.7
Andriy Lunin,13,ua UKR,GK,23-359,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Real Madrid ,Andriy Lunin_Real Madrid _20,1.0,1.0,1.0,0.0,0.1,1.0,3.0,33.3,27.0,8.0,11.1,26.2,1.0,0.0,21.0,8.0,1.0,12.5,4.0,22.3
Paulo Gazzaniga,13,ar ARG,GK,31-034,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Girona ,Paulo Gazzaniga_Girona _20,4.0,0.0,4.0,100.0,1.0,5.0,11.0,45.5,19.0,4.0,42.1,38.3,12.0,25.0,31.3,15.0,1.0,6.7,0.0,10.7
Giorgi Mamardashvili,25,ge GEO,GK,22-129,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Valencia ,Giorgi Mamardashvili_Valencia _20,8.0,1.0,7.0,87.5,1.8,3.0,8.0,37.5,24.0,7.0,16.7,26.3,8.0,50.0,38.6,18.0,1.0,5.6,0.0,9.0
Álex Remiro,1,es ESP,GK,27-318,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,20,2022-2023,Real Sociedad ,Álex Remiro_Real Sociedad _20,2.0,1.0,1.0,50.0,0.9,6.0,9.0,66.7,35.0,3.0,25.7,31.1,4.0,0.0,12.3,15.0,0.0,0.0,4.0,23.8
