player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season,Equipo,unique_id,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Iván Cuéllar,1,es ESP,GK,33-083,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Leganés ,Iván Cuéllar_Leganés _1,5.0,0.0,4.0,100.0,1.6,9.0,26.0,34.6,26.0,5.0,80.8,49.7,5.0,100.0,67.8,8.0,0.0,0.0,0.0,
Fernando Pacheco,1,es ESP,GK,25-092,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,2017-2018,Alavés ,Fernando Pacheco_Alavés _1,3.0,1.0,2.0,66.7,1.0,5.0,21.0,23.8,30.0,4.0,46.7,33.0,7.0,100.0,57.3,11.0,1.0,9.1,2.0,14.3
Neto,13,br BRA,GK,28-030,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,2017-2018,Valencia ,Neto_Valencia _1,4.0,0.0,4.0,100.0,0.7,3.0,11.0,27.3,14.0,6.0,64.3,44.6,2.0,100.0,74.0,6.0,0.0,0.0,0.0,5.0
Leandro Chichizola,13,ar ARG,GK,27-144,90,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2017-2018,Las Palmas ,Leandro Chichizola_Las Palmas _1,6.0,1.0,5.0,83.3,0.8,9.0,23.0,39.1,36.0,9.0,36.1,31.6,10.0,100.0,65.0,12.0,1.0,8.3,0.0,7.5
Sergio Álvarez,1,es ESP,GK,31-016,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,2017-2018,Celta Vigo ,Sergio Álvarez_Celta Vigo _1,6.0,3.0,3.0,66.7,2.4,7.0,15.0,46.7,32.0,0.0,37.5,34.7,6.0,50.0,36.3,14.0,0.0,0.0,0.0,13.0
Gerónimo Rulli,1,ar ARG,GK,25-091,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Real Sociedad ,Gerónimo Rulli_Real Sociedad _1,5.0,2.0,3.0,60.0,1.7,7.0,21.0,33.3,41.0,4.0,39.0,35.2,6.0,83.3,50.5,12.0,2.0,16.7,0.0,12.2
Gorka Iraizoz,1,es ESP,GK,36-166,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1,2017-2018,Girona ,Gorka Iraizoz_Girona _1,3.0,2.0,1.0,33.3,0.6,6.0,14.0,42.9,16.0,4.0,50.0,43.9,6.0,100.0,61.8,7.0,2.0,28.6,0.0,5.2
Jan Oblak,13,si SVN,GK,24-224,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1,2017-2018,Atlético Madrid ,Jan Oblak_Atlético Madrid _1,6.0,2.0,4.0,66.7,3.2,1.0,13.0,7.7,21.0,1.0,47.6,41.1,10.0,30.0,37.4,22.0,1.0,4.5,1.0,9.0
David Soria,13,es ESP,GK,24-137,4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Sevilla ,David Soria_Sevilla _1,2.0,,2.0,,0.8,,,,,1.0,,,,,,,,,,
Pau López,1,es ESP,GK,22-249,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1,2017-2018,Espanyol ,Pau López_Espanyol _1,4.0,1.0,3.0,75.0,2.0,3.0,20.0,15.0,19.0,2.0,73.7,46.8,6.0,100.0,61.3,16.0,2.0,12.5,0.0,6.5
Kepa Arrizabalaga,1,es ESP,GK,22-321,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Athletic Club ,Kepa Arrizabalaga_Athletic Club _1,2.0,0.0,2.0,100.0,0.2,4.0,10.0,40.0,18.0,4.0,38.9,34.6,4.0,75.0,56.3,14.0,1.0,7.1,1.0,15.5
Vicente Guaita,13,es ESP,GK,30-222,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Getafe ,Vicente Guaita_Getafe _1,2.0,0.0,2.0,100.0,0.4,11.0,30.0,36.7,21.0,1.0,81.0,49.2,13.0,100.0,61.6,21.0,1.0,4.8,0.0,6.7
Marc-André ter Stegen,1,de GER,GK,25-112,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Barcelona ,Marc-André ter Stegen_Barcelona _1,0.0,0.0,0.0,,0.0,2.0,6.0,33.3,18.0,0.0,11.1,23.9,6.0,66.7,51.8,0.0,0.0,,1.0,25.0
Antonio Adán,13,es ESP,GK,30-099,90,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0,1,2017-2018,Betis ,Antonio Adán_Betis _1,2.0,2.0,1.0,0.0,0.7,10.0,14.0,71.4,33.0,3.0,24.2,29.8,10.0,60.0,41.1,8.0,0.0,0.0,0.0,12.8
Rubén,13,es ESP,GK,33-059,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,2017-2018,La Coruña ,Rubén_La Coruña _1,8.0,3.0,5.0,62.5,1.9,5.0,16.0,31.3,18.0,2.0,66.7,41.7,5.0,80.0,53.4,15.0,0.0,0.0,0.0,6.5
Keylor Navas,1,cr CRC,GK,30-248,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Real Madrid ,Keylor Navas_Real Madrid _1,5.0,0.0,4.0,100.0,1.6,4.0,8.0,50.0,17.0,4.0,23.5,28.1,8.0,50.0,39.5,14.0,0.0,0.0,1.0,14.5
Raúl Fernández,1,es ESP,GK,29-161,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Levante ,Raúl Fernández_Levante _1,1.0,0.0,1.0,100.0,0.4,8.0,19.0,42.1,17.0,1.0,88.2,53.7,4.0,100.0,65.5,11.0,1.0,9.1,0.0,9.0
Andrés Fernández,13,es ESP,GK,30-247,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1,2017-2018,Villarreal ,Andrés Fernández_Villarreal _1,3.0,1.0,2.0,100.0,1.3,4.0,15.0,26.7,14.0,2.0,35.7,31.3,13.0,76.9,52.5,20.0,0.0,0.0,1.0,15.5
Roberto,1,es ESP,GK,31-192,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1,2017-2018,Málaga ,Roberto_Málaga _1,6.0,1.0,5.0,83.3,2.6,6.0,27.0,22.2,32.0,2.0,59.4,44.7,8.0,100.0,62.3,24.0,1.0,4.2,0.0,8.0
Marko Dmitrović,25,rs SRB,GK,25-209,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,2017-2018,Eibar ,Marko Dmitrović_Eibar _1,4.0,0.0,4.0,100.0,0.6,9.0,20.0,45.0,19.0,2.0,84.2,53.7,4.0,100.0,73.0,17.0,0.0,0.0,1.0,14.0
Antonio Adán,13,es ESP,GK,30-174,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Betis ,Antonio Adán_Betis _11,2.0,2.0,0.0,0.0,0.6,5.0,9.0,55.6,37.0,6.0,10.8,25.2,7.0,71.4,45.6,9.0,0.0,0.0,2.0,21.7
Vicente Guaita,13,es ESP,GK,30-297,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Getafe ,Vicente Guaita_Getafe _11,4.0,2.0,2.0,50.0,1.3,7.0,25.0,28.0,18.0,1.0,83.3,52.6,10.0,100.0,64.8,24.0,0.0,0.0,0.0,7.5
Neto,13,br BRA,GK,28-108,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,11,2017-2018,Valencia ,Neto_Valencia _11,6.0,0.0,6.0,100.0,0.5,2.0,6.0,33.3,20.0,9.0,15.0,29.4,4.0,75.0,51.5,15.0,0.0,0.0,1.0,13.0
Iván Cuéllar,1,es ESP,GK,33-161,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,11,2017-2018,Leganés ,Iván Cuéllar_Leganés _11,6.0,3.0,3.0,66.7,2.3,9.0,21.0,42.9,21.0,4.0,71.4,49.8,7.0,85.7,64.3,9.0,1.0,11.1,1.0,14.4
Costel Pantilimon,25,ro ROU,GK,30-276,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,La Coruña ,Costel Pantilimon_La Coruña _11,3.0,1.0,2.0,66.7,0.6,11.0,22.0,50.0,23.0,5.0,65.2,45.6,9.0,77.8,52.6,8.0,1.0,12.5,0.0,10.0
Jan Oblak,13,si SVN,GK,24-301,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,11,2017-2018,Atlético Madrid ,Jan Oblak_Atlético Madrid _11,1.0,0.0,1.0,100.0,0.2,6.0,18.0,33.3,22.0,4.0,40.9,36.2,10.0,90.0,62.2,14.0,1.0,7.1,1.0,16.0
Fernando Pacheco,1,es ESP,GK,25-170,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,11,2017-2018,Alavés ,Fernando Pacheco_Alavés _11,3.0,0.0,3.0,100.0,0.7,13.0,25.0,52.0,20.0,2.0,90.0,54.4,7.0,100.0,63.7,21.0,2.0,9.5,0.0,9.0
Pau López,1,es ESP,GK,22-326,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Espanyol ,Pau López_Espanyol _11,5.0,1.0,4.0,80.0,0.6,9.0,19.0,47.4,20.0,5.0,45.0,38.1,10.0,100.0,66.5,9.0,2.0,22.2,1.0,12.7
Marc-André ter Stegen,1,de GER,GK,25-188,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Barcelona ,Marc-André ter Stegen_Barcelona _11,3.0,1.0,2.0,66.7,0.9,3.0,11.0,27.3,32.0,6.0,25.0,30.6,4.0,75.0,53.3,7.0,1.0,14.3,3.0,18.0
David Soria,13,es ESP,GK,24-214,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Sevilla ,David Soria_Sevilla _11,5.0,2.0,3.0,60.0,1.9,5.0,10.0,50.0,17.0,5.0,35.3,31.9,8.0,50.0,47.1,6.0,0.0,0.0,0.0,12.5
Raúl Fernández,1,es ESP,GK,29-237,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Levante ,Raúl Fernández_Levante _11,5.0,2.0,3.0,60.0,1.7,8.0,20.0,40.0,22.0,3.0,59.1,41.8,9.0,77.8,54.7,13.0,0.0,0.0,0.0,21.0
Yassine Bounou,13,ma MAR,GK,26-214,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,11,2017-2018,Girona ,Yassine Bounou_Girona _11,4.0,1.0,3.0,75.0,1.5,5.0,16.0,31.3,18.0,2.0,55.6,43.2,7.0,85.7,60.3,19.0,1.0,5.3,1.0,10.7
Rubén Blanco,13,es ESP,GK,22-103,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,11,2017-2018,Celta Vigo ,Rubén Blanco_Celta Vigo _11,5.0,1.0,4.0,80.0,0.8,8.0,22.0,36.4,29.0,2.0,51.7,40.4,9.0,77.8,55.1,28.0,0.0,0.0,2.0,12.0
Kepa Arrizabalaga,1,es ESP,GK,23-033,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,11,2017-2018,Athletic Club ,Kepa Arrizabalaga_Athletic Club _11,5.0,3.0,2.0,40.0,2.2,7.0,16.0,43.8,18.0,3.0,50.0,40.6,8.0,87.5,63.0,14.0,0.0,0.0,0.0,14.5
Gerónimo Rulli,1,ar ARG,GK,25-169,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Real Sociedad ,Gerónimo Rulli_Real Sociedad _11,5.0,1.0,4.0,80.0,1.0,8.0,26.0,30.8,53.0,5.0,30.2,35.4,10.0,100.0,52.4,16.0,0.0,0.0,1.0,16.0
Marko Dmitrović,25,rs SRB,GK,25-285,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,11,2017-2018,Eibar ,Marko Dmitrović_Eibar _11,6.0,3.0,3.0,50.0,2.2,6.0,20.0,30.0,14.0,4.0,64.3,42.0,11.0,100.0,66.9,13.0,1.0,7.7,3.0,17.4
Mariano Barbosa,25,ar ARG,GK,33-101,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Villarreal ,Mariano Barbosa_Villarreal _11,2.0,0.0,2.0,100.0,0.2,0.0,3.0,0.0,11.0,3.0,18.2,32.1,3.0,33.3,38.0,16.0,0.0,0.0,1.0,23.0
Roberto,1,es ESP,GK,31-268,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,11,2017-2018,Málaga ,Roberto_Málaga _11,3.0,2.0,1.0,33.3,1.0,5.0,33.0,15.2,23.0,1.0,91.3,57.5,12.0,100.0,71.8,10.0,1.0,10.0,2.0,15.4
Kiko Casilla,13,es ESP,GK,31-034,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,11,2017-2018,Real Madrid ,Kiko Casilla_Real Madrid _11,1.0,0.0,1.0,100.0,0.3,1.0,2.0,50.0,17.0,1.0,11.8,27.4,2.0,0.0,31.0,5.0,0.0,0.0,0.0,3.0
Raúl Lizoain,1,es ESP,GK,26-282,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2017-2018,Las Palmas ,Raúl Lizoain_Las Palmas _11,9.0,3.0,6.0,66.7,2.6,6.0,12.0,50.0,31.0,9.0,16.1,26.5,14.0,50.0,43.4,29.0,0.0,0.0,1.0,13.3
Yassine Bounou,13,ma MAR,GK,26-226,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Girona ,Yassine Bounou_Girona _12,5.0,1.0,4.0,80.0,1.4,9.0,13.0,69.2,22.0,5.0,45.5,40.3,3.0,100.0,66.0,12.0,1.0,8.3,2.0,20.5
Gerónimo Rulli,1,ar ARG,GK,25-181,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Real Sociedad ,Gerónimo Rulli_Real Sociedad _12,4.0,1.0,3.0,75.0,1.6,7.0,31.0,22.6,43.0,4.0,58.1,41.9,8.0,75.0,52.8,18.0,0.0,0.0,1.0,20.0
Vicente Guaita,13,es ESP,GK,30-312,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,12,2017-2018,Getafe ,Vicente Guaita_Getafe _12,5.0,1.0,4.0,80.0,1.1,2.0,16.0,12.5,22.0,5.0,54.5,44.2,5.0,80.0,57.4,16.0,0.0,0.0,0.0,10.0
Fernando Pacheco,1,es ESP,GK,25-184,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,12,2017-2018,Alavés ,Fernando Pacheco_Alavés _12,8.0,4.0,4.0,62.5,3.1,10.0,18.0,55.6,18.0,4.0,72.2,44.3,5.0,100.0,55.6,16.0,0.0,0.0,1.0,11.8
Iván Cuéllar,1,es ESP,GK,33-175,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,12,2017-2018,Leganés ,Iván Cuéllar_Leganés _12,6.0,3.0,3.0,50.0,2.6,7.0,20.0,35.0,21.0,3.0,76.2,49.3,5.0,80.0,57.2,5.0,0.0,0.0,0.0,5.5
Marc-André ter Stegen,1,de GER,GK,25-202,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,12,2017-2018,Barcelona ,Marc-André ter Stegen_Barcelona _12,7.0,0.0,7.0,100.0,1.2,0.0,5.0,0.0,28.0,8.0,14.3,26.7,7.0,14.3,35.3,16.0,0.0,0.0,1.0,16.3
David Soria,13,es ESP,GK,24-228,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,12,2017-2018,Sevilla ,David Soria_Sevilla _12,5.0,1.0,4.0,80.0,0.5,5.0,14.0,35.7,17.0,3.0,52.9,37.8,6.0,83.3,54.5,11.0,0.0,0.0,0.0,5.5
Rubén Blanco,13,es ESP,GK,22-116,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Celta Vigo ,Rubén Blanco_Celta Vigo _12,5.0,2.0,3.0,60.0,0.7,2.0,25.0,8.0,44.0,6.0,45.5,36.8,5.0,100.0,71.2,8.0,0.0,0.0,0.0,
Jan Oblak,13,si SVN,GK,24-315,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Atlético Madrid ,Jan Oblak_Atlético Madrid _12,3.0,0.0,3.0,100.0,1.0,8.0,12.0,66.7,14.0,4.0,42.9,37.6,9.0,66.7,48.0,21.0,1.0,4.8,1.0,16.5
Kiko Casilla,13,es ESP,GK,31-047,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Real Madrid ,Kiko Casilla_Real Madrid _12,0.0,0.0,0.0,,0.0,5.0,8.0,62.5,25.0,7.0,24.0,29.3,4.0,50.0,48.0,17.0,2.0,11.8,0.0,14.7
Roberto,1,es ESP,GK,31-282,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Málaga ,Roberto_Málaga _12,4.0,2.0,2.0,50.0,1.7,7.0,18.0,38.9,32.0,3.0,53.1,40.4,4.0,25.0,37.5,9.0,0.0,0.0,1.0,19.5
Rubén,13,es ESP,GK,33-150,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,12,2017-2018,La Coruña ,Rubén_La Coruña _12,5.0,3.0,2.0,40.0,2.2,10.0,25.0,40.0,29.0,3.0,58.6,38.3,8.0,100.0,64.1,10.0,1.0,10.0,2.0,21.0
Pau López,1,es ESP,GK,22-341,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,12,2017-2018,Espanyol ,Pau López_Espanyol _12,4.0,2.0,2.0,50.0,1.3,7.0,13.0,53.8,16.0,5.0,50.0,41.8,5.0,100.0,60.4,16.0,0.0,0.0,2.0,13.2
Neto,13,br BRA,GK,28-123,90,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,12,2017-2018,Valencia ,Neto_Valencia _12,4.0,0.0,4.0,100.0,0.4,12.0,25.0,48.0,22.0,1.0,68.2,47.3,12.0,83.3,57.4,17.0,1.0,5.9,0.0,9.7
Raúl Lizoain,1,es ESP,GK,26-296,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,12,2017-2018,Las Palmas ,Raúl Lizoain_Las Palmas _12,6.0,2.0,4.0,66.7,2.1,3.0,4.0,75.0,18.0,7.0,5.6,23.1,9.0,33.3,33.0,9.0,0.0,0.0,0.0,10.0
Oier Olazábal,13,es ESP,GK,28-066,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,12,2017-2018,Levante ,Oier Olazábal_Levante _12,5.0,0.0,5.0,100.0,0.9,10.0,28.0,35.7,32.0,6.0,65.6,46.1,10.0,70.0,47.1,13.0,1.0,7.7,0.0,13.2
Kepa Arrizabalaga,1,es ESP,GK,23-047,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Athletic Club ,Kepa Arrizabalaga_Athletic Club _12,4.0,1.0,2.0,75.0,2.3,12.0,19.0,63.2,25.0,3.0,72.0,43.9,3.0,33.3,39.3,13.0,0.0,0.0,0.0,11.5
Mariano Barbosa,25,ar ARG,GK,33-115,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,12,2017-2018,Villarreal ,Mariano Barbosa_Villarreal _12,3.0,1.0,2.0,66.7,0.3,4.0,16.0,25.0,22.0,5.0,27.3,32.4,11.0,90.9,53.1,36.0,1.0,2.8,0.0,3.5
Marko Dmitrović,25,rs SRB,GK,25-300,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,12,2017-2018,Eibar ,Marko Dmitrović_Eibar _12,0.0,0.0,0.0,,0.0,6.0,16.0,37.5,18.0,3.0,61.1,42.3,5.0,100.0,72.4,8.0,0.0,0.0,4.0,22.5
Antonio Adán,13,es ESP,GK,30-191,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,2017-2018,Betis ,Antonio Adán_Betis _12,7.0,5.0,3.0,42.9,2.6,5.0,21.0,23.8,46.0,6.0,39.1,35.7,10.0,30.0,35.9,23.0,1.0,4.3,1.0,13.7
Rubén Blanco,13,es ESP,GK,22-122,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,2017-2018,Celta Vigo ,Rubén Blanco_Celta Vigo _13,2.0,0.0,2.0,100.0,0.6,5.0,20.0,25.0,30.0,1.0,53.3,43.9,7.0,57.1,47.7,18.0,0.0,0.0,0.0,
Iván Cuéllar,1,es ESP,GK,33-181,90,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0.0,13,2017-2018,Leganés ,Iván Cuéllar_Leganés _13,7.0,1.0,6.0,100.0,2.0,13.0,34.0,38.2,32.0,6.0,84.4,49.4,7.0,100.0,64.7,7.0,0.0,0.0,6.0,23.1
Fernando Pacheco,1,es ESP,GK,25-191,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,13,2017-2018,Alavés ,Fernando Pacheco_Alavés _13,6.0,2.0,4.0,66.7,1.1,14.0,30.0,46.7,30.0,0.0,83.3,53.3,5.0,100.0,59.6,21.0,1.0,4.8,0.0,3.5
Marko Dmitrović,25,rs SRB,GK,25-305,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,13,2017-2018,Eibar ,Marko Dmitrović_Eibar _13,2.0,1.0,1.0,50.0,0.3,10.0,31.0,32.3,33.0,4.0,69.7,52.9,8.0,100.0,71.9,16.0,1.0,6.3,2.0,18.7
Kiko Casilla,13,es ESP,GK,31-054,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,13,2017-2018,Real Madrid ,Kiko Casilla_Real Madrid _13,3.0,2.0,1.0,33.3,0.8,7.0,11.0,63.6,17.0,2.0,29.4,33.2,7.0,85.7,54.7,10.0,0.0,0.0,0.0,2.0
Roberto,1,es ESP,GK,31-288,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,13,2017-2018,Málaga ,Roberto_Málaga _13,9.0,3.0,5.0,66.7,4.3,9.0,19.0,47.4,27.0,2.0,51.9,41.3,10.0,50.0,42.4,17.0,1.0,5.9,1.0,8.7
Antonio Adán,13,es ESP,GK,30-196,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,2017-2018,Betis ,Antonio Adán_Betis _13,7.0,2.0,5.0,71.4,2.1,5.0,23.0,21.7,45.0,4.0,37.8,36.2,6.0,100.0,61.0,28.0,3.0,10.7,2.0,14.7
Yassine Bounou,13,ma MAR,GK,26-234,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,13,2017-2018,Girona ,Yassine Bounou_Girona _13,6.0,2.0,4.0,66.7,1.4,12.0,29.0,41.4,29.0,3.0,79.3,50.4,6.0,100.0,68.5,10.0,0.0,0.0,2.0,14.8
Oier Olazábal,13,es ESP,GK,28-072,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,13,2017-2018,Levante ,Oier Olazábal_Levante _13,10.0,5.0,6.0,50.0,4.5,5.0,11.0,45.5,25.0,4.0,32.0,33.6,3.0,100.0,56.3,6.0,0.0,0.0,4.0,21.5
Jan Oblak,13,si SVN,GK,24-322,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,13,2017-2018,Atlético Madrid ,Jan Oblak_Atlético Madrid _13,2.0,0.0,2.0,100.0,0.1,6.0,16.0,37.5,18.0,4.0,33.3,39.2,11.0,90.9,57.8,14.0,0.0,0.0,1.0,26.0
