Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
Sergio Akieme,15,es ESP,LB,25-238,90,0,0,0,0,1,1,0,0,63.0,3.0,0,1.0,0.0,0.0,0.4,4.0,0.0,39.0,50.0,78.0,4.0,35.0,6.0,8.0,6.0,1,2023-2024
Srđan Babić,22,rs SRB,CB,27-111,90,0,0,0,0,1,0,0,0,69.0,2.0,0,1.0,0.0,0.0,0.0,3.0,0.0,58.0,62.0,93.5,6.0,44.0,1.0,0.0,0.0,1,2023-2024
Édgar González,3,es ESP,CB,26-132,90,0,0,0,0,0,0,0,0,99.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,88.0,95.0,92.6,6.0,69.0,0.0,1.0,0.0,1,2023-2024
Alejandro Pozo Pozo,17,es ESP,RB,24-170,65,0,0,0,0,0,0,0,0,51.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,44.0,79.5,3.0,23.0,1.0,2.0,0.0,1,2023-2024
   Pubill,18,es ESP,RB,20-052,25,0,0,0,0,0,0,0,0,28.0,1.0,0,0.0,0.0,0.0,0.1,2.0,0.0,20.0,25.0,80.0,0.0,15.0,0.0,0.0,0.0,1,2023-2024
Diego Mariño,1,es ESP,GK,33-094,90,0,0,0,0,0,0,0,0,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,0.0,22.0,0.0,0.0,0.0,1,2023-2024
Youssef En-Nesyri,15,ma MAR,FW,26-071,81,1,0,0,0,4,2,0,0,18.0,0.0,0,1.0,0.6,0.6,0.0,0.0,0.0,3.0,6.0,50.0,0.0,8.0,1.0,3.0,0.0,1,2023-2024
   Federico Gattoni,2,ar ARG,CB,24-176,9,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,2.0,0.0,0.0,0.0,1,2023-2024
Érik Lamela,17,ar ARG,LW,31-160,55,0,0,0,0,0,0,0,0,24.0,6.0,0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,0.0,9.0,0.0,1.0,0.0,1,2023-2024
   Óliver Torres,21,es ESP,AM,28-274,35,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,72.2,1.0,13.0,1.0,1.0,0.0,1,2023-2024
Lucas Ocampos,5,ar ARG,"RW,LW",29-031,90,0,0,0,0,1,0,0,0,40.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,15.0,26.0,57.7,1.0,28.0,4.0,4.0,0.0,1,2023-2024
Suso,7,es ESP,"AM,RW",29-265,90,0,1,0,0,1,1,0,0,47.0,1.0,0,1.0,0.0,0.0,0.5,4.0,2.0,23.0,39.0,59.0,3.0,32.0,3.0,3.0,1.0,1,2023-2024
Ivan Rakitić,10,hr CRO,DM,35-154,90,0,0,0,0,1,0,1,0,81.0,3.0,1,0.0,0.0,0.0,0.0,2.0,0.0,46.0,69.0,66.7,2.0,40.0,3.0,5.0,2.0,1,2023-2024
