player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Iago Herrerín,es ESP,31-092,90,3,1,2,66.7,0.5,4,18,22.2,25,5,56.0,44.8,4,100.0,65.0,17,2,11.8,0,6.3,35,2018-2019
Fernando Pacheco,es ESP,26-344,90,1,1,0,0.0,0.3,11,27,40.7,19,0,68.4,45.5,14,100.0,58.6,28,1,3.6,0,12.0,35,2018-2019
Jan Oblak,si SVN,26-110,90,4,0,4,100.0,0.5,7,15,46.7,10,3,50.0,36.0,11,90.9,59.1,12,0,0.0,0,15.0,35,2018-2019
Jordi Masip,es ESP,30-114,90,1,1,1,0.0,0.5,6,22,27.3,16,3,75.0,48.2,10,100.0,65.7,19,0,0.0,0,6.5,35,2018-2019
Iván Cuéllar,es ESP,34-335,90,1,0,1,100.0,0.1,5,17,29.4,22,3,54.5,44.8,6,83.3,62.3,11,4,36.4,0,13.0,35,2018-2019
Rubén Blanco,es ESP,23-276,90,1,0,1,100.0,0.0,8,21,38.1,16,6,50.0,40.8,14,92.9,63.1,19,1,5.3,1,16.0,35,2018-2019
Marc-André ter Stegen,de GER,26-362,90,2,0,2,100.0,0.9,3,4,75.0,25,9,8.0,25.4,6,33.3,33.7,13,0,0.0,3,17.2,35,2018-2019
Aitor Fernández,es ESP,27-359,90,12,1,11,91.7,2.4,10,19,52.6,27,11,37.0,39.1,13,69.2,47.0,12,0,0.0,0,,35,2018-2019
Neto,br BRA,29-283,90,3,1,2,66.7,1.2,12,18,66.7,23,7,39.1,34.9,11,81.8,59.9,20,0,0.0,1,23.0,35,2018-2019
Marko Dmitrović,rs SRB,27-094,90,2,0,2,100.0,0.7,7,29,24.1,28,3,85.7,55.6,5,100.0,64.8,14,2,14.3,0,9.0,35,2018-2019
Yassine Bounou,ma MAR,28-023,90,3,0,3,100.0,0.3,2,6,33.3,14,4,21.4,29.5,3,100.0,52.7,9,1,11.1,1,17.7,35,2018-2019
Tomáš Vaclík,cz CZE,30-030,90,4,1,3,75.0,0.6,4,14,28.6,18,7,27.8,32.5,11,81.8,55.0,17,3,17.6,0,6.8,35,2018-2019
Gerónimo Rulli,ar ARG,26-343,90,3,1,2,66.7,0.8,4,22,18.2,39,6,38.5,37.5,10,70.0,53.3,24,0,0.0,2,19.0,35,2018-2019
David Soria,es ESP,26-024,90,7,2,5,85.7,3.5,9,24,37.5,30,3,73.3,46.3,2,100.0,53.5,8,1,12.5,5,20.8,35,2018-2019
Andrés Fernández,es ESP,32-132,90,3,1,2,66.7,1.3,7,15,46.7,15,3,40.0,39.5,10,90.0,53.3,23,1,4.3,3,14.6,35,2018-2019
Roberto Santamaría,es ESP,34-060,90,5,1,4,80.0,1.0,13,28,46.4,20,3,80.0,51.3,14,85.7,57.8,6,1,16.7,0,4.5,35,2018-2019
Alberto García,es ESP,34-078,90,3,0,3,100.0,0.3,10,12,83.3,29,4,31.0,37.1,4,75.0,57.0,10,0,0.0,2,22.3,35,2018-2019
Thibaut Courtois,be BEL,26-352,90,4,1,3,100.0,2.1,3,11,27.3,23,7,21.7,31.5,14,42.9,38.8,13,2,15.4,0,6.3,35,2018-2019
Joel Robles,es ESP,28-316,90,3,1,2,66.7,1.2,3,9,33.3,25,1,32.0,35.7,5,20.0,32.2,10,1,10.0,3,24.6,35,2018-2019
Diego López,es ESP,37-177,90,5,1,4,80.0,1.0,5,22,22.7,36,6,38.9,34.6,12,66.7,50.5,18,2,11.1,0,10.8,35,2018-2019
