player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Yassine Bounou,ma MAR,28-001,90,2,2,1,0.0,0.5,6,13,46.2,20,4,40.0,37.1,7,71.4,47.9,11,1,9.1,0,3.0,31,2018-2019
Diego López,es ESP,37-154,90,5,1,4,100.0,1.5,11,20,55.0,23,3,60.9,39.3,9,66.7,49.7,19,0,0.0,0,5.0,31,2018-2019
Keylor Navas,cr CRC,32-112,90,1,1,0,0.0,1.0,8,14,57.1,29,3,48.3,36.2,8,0.0,26.5,16,0,0.0,1,25.0,31,2018-2019
Marko Dmitrović,rs SRB,27-072,90,7,2,5,71.4,1.9,12,34,35.3,33,2,81.8,55.5,7,100.0,69.4,15,1,6.7,3,18.0,31,2018-2019
Alberto García,es ESP,34-056,90,3,0,2,100.0,1.8,2,11,18.2,27,5,33.3,36.3,6,33.3,42.2,14,0,0.0,0,8.3,31,2018-2019
Neto,br BRA,29-261,90,5,2,3,60.0,1.3,3,21,14.3,23,7,43.5,39.2,13,84.6,60.6,21,1,4.8,2,19.0,31,2018-2019
Marc-André ter Stegen,de GER,26-341,90,2,0,2,100.0,0.4,2,3,66.7,13,4,7.7,26.7,6,33.3,35.5,6,0,0.0,0,,31,2018-2019
Jan Oblak,si SVN,26-089,90,10,2,8,80.0,3.2,6,13,46.2,16,3,37.5,34.6,9,77.8,52.6,3,0,0.0,0,12.0,31,2018-2019
Fernando Pacheco,es ESP,26-324,90,5,1,4,80.0,1.2,9,26,34.6,19,1,89.5,54.5,9,100.0,62.7,17,0,0.0,0,,31,2018-2019
Iván Cuéllar,es ESP,34-315,90,1,1,0,100.0,1.0,5,22,22.7,28,3,60.7,45.9,5,100.0,65.4,9,0,0.0,1,16.0,31,2018-2019
David Soria,es ESP,26-003,90,1,0,1,100.0,0.2,16,33,48.5,28,2,89.3,53.4,9,88.9,55.6,11,0,0.0,1,21.5,31,2018-2019
Iago Herrerín,es ESP,31-072,90,2,1,1,50.0,0.8,13,30,43.3,30,1,86.7,57.0,4,100.0,74.8,5,0,0.0,1,24.5,31,2018-2019
Jordi Masip,es ESP,30-094,90,4,2,2,50.0,1.3,10,29,34.5,31,4,64.5,45.7,10,90.0,58.6,19,0,0.0,0,13.0,31,2018-2019
Juan Soriano,es ESP,21-227,90,5,0,5,100.0,1.6,8,17,47.1,22,6,45.5,38.2,7,100.0,55.1,17,0,0.0,6,27.0,31,2018-2019
Aitor Fernández,es ESP,27-339,90,4,2,2,50.0,1.0,4,15,26.7,18,6,55.6,43.4,13,38.5,40.6,14,0,0.0,0,13.0,31,2018-2019
Roberto Santamaría,es ESP,34-039,90,8,2,6,87.5,2.6,10,20,50.0,19,2,73.7,50.6,6,100.0,65.3,18,0,0.0,0,4.0,31,2018-2019
Rubén Blanco,es ESP,23-256,90,7,1,6,100.0,1.9,5,17,29.4,23,5,52.2,42.7,7,71.4,50.6,19,0,0.0,0,10.0,31,2018-2019
Gerónimo Rulli,ar ARG,26-322,90,4,3,1,50.0,3.0,7,23,30.4,29,3,62.1,40.6,10,50.0,45.4,22,1,4.5,0,6.5,31,2018-2019
Pau López,es ESP,24-115,90,4,1,2,75.0,1.4,1,9,11.1,24,4,33.3,31.8,5,20.0,37.6,7,2,28.6,0,9.0,31,2018-2019
Sergio Asenjo,es ESP,29-283,90,6,2,4,66.7,2.8,4,12,33.3,19,5,42.1,41.9,8,50.0,51.9,8,0,0.0,0,7.6,31,2018-2019
