player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Jon Bautista,21,es ESP,FW,23-084,90,3,1,0,2,1,0,0,,0,1,0,1,0,3,0,0,6,2018-2019
Mikel Oyarzabal,10,es ESP,LW,21-157,90,3,2,1,0,2,2,2,100.0,0,0,0,0,0,3,2,0,6,2018-2019
Luca Sangalli,23,es ESP,RW,23-227,76,3,1,1,2,0,0,1,0.0,1,0,0,0,1,4,0,0,6,2018-2019
   David Zurutuza,17,es ESP,RW,32-068,14,1,1,0,1,0,0,0,,0,1,1,0,0,1,0,0,6,2018-2019
Mikel Merino,8,es ESP,AM,22-095,90,4,2,2,2,0,0,3,0.0,3,1,0,1,3,7,0,0,6,2018-2019
Igor Zubeldia,5,es ESP,DM,21-179,60,3,1,1,1,1,2,3,66.7,1,1,0,1,1,4,0,0,6,2018-2019
   Asier Illarramendi,4,es ESP,DM,28-201,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,6,2018-2019
Rubén Pardo,14,es ESP,DM,25-338,62,0,0,0,0,0,0,0,,0,1,0,1,4,4,1,0,6,2018-2019
   Willian José,12,br BRA,AM,26-306,28,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,6,2018-2019
Kévin Rodrigues,20,pt POR,LB,24-204,90,4,3,1,2,1,0,1,0.0,1,0,0,0,1,5,3,0,6,2018-2019
Héctor Moreno,6,mx MEX,CB,30-251,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0,6,2018-2019
Aritz Elustondo,15,es ESP,CB,24-181,90,2,1,1,1,0,0,0,,0,1,0,1,2,4,0,0,6,2018-2019
Joseba Zaldúa,2,es ESP,RB,26-093,90,2,2,2,0,0,0,3,0.0,3,1,0,1,2,4,2,0,6,2018-2019
Gerónimo Rulli,1,ar ARG,GK,26-128,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,6,2018-2019
Raúl de Tomás,9,es ESP,FW,23-343,75,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,6,2018-2019
   Álex Alegría,15,es ESP,FW,25-350,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,2018-2019
Bebé,14,cv CPV,"LM,LW",28-075,70,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,6,2018-2019
   Adri Embarba,11,es ESP,LW,26-141,20,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,6,2018-2019
Óscar Trejo,8,ar ARG,"CM,AM",30-152,90,2,1,0,1,1,0,0,,0,2,1,1,0,2,0,0,6,2018-2019
Álvaro Medrán,4,es ESP,CM,24-194,64,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,1,0,6,2018-2019
   Giannelli Imbula,12,cd COD,DM,26-013,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,2018-2019
Gaël Kakuta,10,cd COD,"RM,RW",27-096,90,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0,6,2018-2019
Santi Comesaña,27,es ESP,DM,21-355,90,2,2,0,2,0,1,1,100.0,0,1,0,1,3,5,0,0,6,2018-2019
Álex Moreno,7,es ESP,LB,25-109,90,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,2,0,6,2018-2019
Jordi Amat,16,id IDN,CB,26-188,90,2,2,1,1,0,1,1,100.0,0,3,1,2,3,5,6,0,6,2018-2019
Álex Gálvez,23,es ESP,CB,29-111,90,2,2,2,0,0,0,2,0.0,2,1,0,1,1,3,6,0,6,2018-2019
Luis Advíncula,17,pe PER,RB,28-207,90,1,1,0,1,0,0,0,,0,1,0,1,0,1,3,0,6,2018-2019
Alberto García,1,es ESP,GK,33-228,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,2018-2019
Antoine Griezmann,7,fr FRA,FW,27-188,52,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,6,2018-2019
   Nikola Kalinić,9,hr CRO,FW,30-263,38,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,0,0,6,2018-2019
Diego Costa,19,es ESP,FW,29-353,64,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,2018-2019
