player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Jon Bautista,21,es ESP,FW,23-084,90,25,0,0,11,14,8,25,1,1,100.0,0,0.0,9,63,41,2,0,2,1,3,13,2,6,2018-2019
Mikel Oyarzabal,10,es ESP,LW,21-157,90,48,3,6,19,24,5,48,2,1,50.0,1,50.0,36,158,57,2,2,1,6,1,37,7,6,2018-2019
Luca Sangalli,23,es ESP,RW,23-227,76,29,0,3,15,11,2,29,0,0,,0,,20,73,43,1,3,0,2,2,21,3,6,2018-2019
   David Zurutuza,17,es ESP,RW,32-068,14,16,0,1,12,3,0,16,0,0,,0,,9,49,22,1,1,0,1,1,11,1,6,2018-2019
Mikel Merino,8,es ESP,AM,22-095,90,49,1,9,26,14,2,49,2,1,50.0,1,50.0,30,74,11,0,0,0,2,3,37,4,6,2018-2019
Igor Zubeldia,5,es ESP,DM,21-179,60,48,1,9,32,7,0,48,0,0,,0,,37,212,90,1,0,0,0,0,36,0,6,2018-2019
   Asier Illarramendi,4,es ESP,DM,28-201,30,29,3,8,19,2,0,29,0,0,,0,,18,105,67,0,0,0,0,0,20,0,6,2018-2019
Rubén Pardo,14,es ESP,DM,25-338,62,44,1,6,24,16,1,44,1,1,100.0,0,0.0,24,94,47,0,0,0,1,0,20,0,6,2018-2019
   Willian José,12,br BRA,AM,26-306,28,14,0,0,5,9,4,14,1,1,100.0,0,0.0,8,29,5,0,1,0,1,0,14,2,6,2018-2019
Kévin Rodrigues,20,pt POR,LB,24-204,90,49,2,12,22,15,0,49,0,0,,0,,24,87,51,1,1,0,1,0,25,6,6,2018-2019
