player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
David Soria,es ESP,25-149,90,4,0,4,100.0,1.3,6,13,46.2,21,3,38.1,37.8,5,100.0,66.6,13,2,15.4,5,15.1,3,2018-2019
Jordi Masip,es ESP,29-240,90,3,0,3,100.0,0.9,3,25,12.0,24,5,75.0,48.5,7,100.0,66.9,20,2,10.0,0,4.7,3,2018-2019
Sergio Asenjo,es ESP,29-064,90,6,1,5,83.3,1.1,3,6,50.0,20,7,20.0,28.8,6,33.3,33.8,13,0,0.0,1,13.5,3,2018-2019
Yassine Bounou,ma MAR,27-148,90,3,0,3,100.0,0.7,13,28,46.4,20,1,80.0,50.0,12,100.0,61.7,17,2,11.8,2,16.3,3,2018-2019
Marko Dmitrović,rs SRB,26-219,90,2,1,1,100.0,1.2,8,21,38.1,22,2,72.7,49.3,6,83.3,71.8,5,1,20.0,5,21.7,3,2018-2019
Gerónimo Rulli,ar ARG,26-103,90,2,2,0,0.0,0.9,10,26,38.5,26,6,65.4,47.1,9,100.0,58.8,21,0,0.0,2,16.3,3,2018-2019
Sergio Álvarez,es ESP,32-029,90,0,0,0,,0.0,8,16,50.0,22,4,50.0,43.5,6,83.3,58.7,26,1,3.8,1,11.7,3,2018-2019
Jan Oblak,si SVN,25-237,90,4,2,2,50.0,1.0,7,13,53.8,14,5,50.0,39.9,6,100.0,56.8,8,0,0.0,0,18.0,3,2018-2019
Thibaut Courtois,be BEL,26-113,90,3,1,2,100.0,1.1,1,1,100.0,19,6,5.3,23.5,4,0.0,33.0,10,1,10.0,1,13.5,3,2018-2019
Iván Cuéllar,es ESP,34-097,90,8,4,4,62.5,2.9,10,22,45.5,16,3,81.3,49.8,10,90.0,59.9,20,1,5.0,0,14.0,3,2018-2019
Oier Olazábal,es ESP,28-353,90,5,2,3,80.0,2.5,9,16,56.3,16,4,50.0,44.1,11,72.7,47.6,15,0,0.0,0,3.0,3,2018-2019
Neto,br BRA,29-045,90,4,2,2,50.0,2.1,6,15,40.0,17,7,35.3,34.7,11,81.8,57.6,24,0,0.0,1,16.7,3,2018-2019
Fernando Pacheco,es ESP,26-107,90,7,1,6,100.0,1.7,5,15,33.3,25,5,40.0,36.2,8,62.5,46.6,23,0,0.0,3,16.8,3,2018-2019
Diego López,es ESP,36-303,90,5,2,3,60.0,1.4,2,6,33.3,23,9,17.4,28.7,4,50.0,33.8,9,0,0.0,0,7.5,3,2018-2019
Marc-André ter Stegen,de GER,26-125,90,3,2,1,33.3,1.9,2,3,66.7,20,7,5.0,21.7,3,66.7,42.7,7,0,0.0,1,33.0,3,2018-2019
Axel Werner,ar ARG,22-186,90,14,8,7,50.0,6.7,8,25,32.0,15,1,80.0,48.7,15,86.7,57.9,4,0,0.0,0,,3,2018-2019
Pau López,es ESP,23-263,90,2,0,2,100.0,0.2,5,20,25.0,30,1,53.3,37.8,7,57.1,44.9,18,1,5.6,0,6.7,3,2018-2019
Tomáš Vaclík,cz CZE,29-157,90,3,1,2,66.7,0.7,6,21,28.6,25,5,64.0,42.3,5,100.0,68.4,9,0,0.0,1,15.0,3,2018-2019
Axel Werner,ar ARG,22-198,90,2,1,1,50.0,0.9,2,9,22.2,17,3,29.4,31.2,5,80.0,57.6,12,0,0.0,0,,4,2018-2019
Alberto García,es ESP,33-217,90,4,0,4,100.0,0.5,4,15,26.7,29,8,31.0,31.8,8,75.0,51.4,31,2,6.5,1,11.1,4,2018-2019
