player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Stole Dimitrievski,mk MKD,28-301,90,0,1,0,,0.0,4,7,57.1,19,7,31.6,30.9,4,25.0,30.8,5,1,20.0,3,22.0,11,2022-2023
Jeremías Ledesma,ar ARG,29-251,90,11,5,6,63.6,3.5,6,21,28.6,20,3,50.0,47.3,12,91.7,71.5,19,1,5.3,0,11.2,11,2022-2023
Jordi Masip,es ESP,33-292,90,2,0,2,100.0,0.0,4,32,12.5,28,3,71.4,50.7,12,100.0,64.8,25,0,0.0,2,16.0,11,2022-2023
Álex Remiro,es ESP,27-212,90,2,1,1,50.0,0.6,3,9,33.3,28,1,25.0,28.2,7,28.6,31.4,8,0,0.0,3,19.3,11,2022-2023
Giorgi Mamardashvili,ge GEO,22-023,90,5,2,3,80.0,1.6,1,2,50.0,16,6,12.5,24.8,1,0.0,13.0,7,2,28.6,0,9.4,11,2022-2023
Predrag Rajković,rs SRB,26-356,90,3,1,2,100.0,1.6,6,24,25.0,23,2,69.6,50.9,10,80.0,61.3,25,0,0.0,0,8.0,11,2022-2023
Thibaut Courtois,be BEL,30-164,90,2,1,1,50.0,0.5,2,5,40.0,28,2,14.3,24.5,3,33.3,32.0,6,1,16.7,1,15.8,11,2022-2023
Yassine Bounou,ma MAR,31-200,90,6,3,3,50.0,1.9,1,12,8.3,19,1,31.6,33.3,9,66.7,40.7,5,1,20.0,0,8.3,11,2022-2023
Benjamin Lecomte,fr FRA,31-180,90,4,2,2,50.0,0.6,2,5,40.0,15,6,26.7,33.1,5,20.0,29.4,10,0,0.0,0,2.0,11,2022-2023
Édgar Badía,es ESP,30-253,90,5,2,3,60.0,3.0,4,10,40.0,23,5,30.4,32.7,13,23.1,27.2,19,1,5.3,0,10.3,11,2022-2023
Rui Silva,pt POR,28-258,90,3,2,1,33.3,1.3,4,9,44.4,27,5,29.6,28.4,2,50.0,41.0,8,1,12.5,9,27.1,11,2022-2023
Jan Oblak,si SVN,29-289,90,4,1,3,75.0,1.1,8,14,57.1,16,4,62.5,41.9,8,50.0,40.1,12,0,0.0,0,,11,2022-2023
Paulo Gazzaniga,ar ARG,30-294,90,2,1,1,50.0,0.7,4,11,36.4,43,9,18.6,27.6,8,37.5,34.5,18,2,11.1,2,20.2,11,2022-2023
Sergio Herrera,es ESP,29-140,90,1,1,0,0.0,0.4,7,17,41.2,36,3,38.9,38.1,6,50.0,39.3,13,1,7.7,3,16.4,11,2022-2023
Gerónimo Rulli,ar ARG,30-156,90,4,1,3,75.0,1.0,3,7,42.9,29,5,17.2,28.0,5,40.0,37.8,16,4,25.0,4,16.7,11,2022-2023
Fernando Pacheco,es ESP,30-158,90,5,2,3,60.0,1.6,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,14.5,11,2022-2023
Marc-André ter Stegen,de GER,30-176,90,1,0,1,100.0,0.4,4,10,40.0,51,6,19.6,28.4,4,0.0,24.5,8,2,25.0,0,13.8,11,2022-2023
Unai Simón,es ESP,25-134,90,7,4,3,42.9,2.2,5,18,27.8,33,4,45.5,35.0,6,50.0,38.8,6,0,0.0,2,25.0,11,2022-2023
Agustín Marchesín,ar ARG,34-222,90,1,1,0,0.0,0.2,5,7,71.4,24,3,20.8,27.6,5,40.0,34.0,2,1,50.0,1,21.7,11,2022-2023
David Soria,es ESP,29-203,90,5,1,4,80.0,0.9,17,33,51.5,21,2,81.0,52.2,17,94.1,60.4,19,0,0.0,1,32.0,11,2022-2023
