player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Paulo Gazzaniga,ar ARG,31-113,90,3,2,1,33.3,1.5,8,16,50.0,20,2,45.0,38.2,11,63.6,47.1,18,1,5.6,0,3.0,31,2022-2023
Andriy Lunin,ua UKR,24-073,90,5,4,1,20.0,1.6,1,3,33.3,27,4,7.4,25.2,8,12.5,28.0,8,0,0.0,3,28.0,31,2022-2023
Jeremías Ledesma,ar ARG,30-071,90,4,1,3,75.0,1.0,6,17,35.3,29,4,48.3,43.0,3,100.0,73.0,11,0,0.0,5,23.0,31,2022-2023
Aitor Fernández,es ESP,31-357,90,4,0,4,100.0,0.2,16,30,53.3,31,3,51.6,40.1,15,93.3,63.1,30,0,0.0,2,13.0,31,2022-2023
Rui Silva,pt POR,29-077,90,3,0,3,100.0,0.6,3,12,25.0,29,3,34.5,34.4,7,28.6,26.4,8,0,0.0,1,21.5,31,2022-2023
Álex Remiro,es ESP,28-032,90,1,0,1,100.0,0.1,6,21,28.6,28,2,57.1,46.6,5,100.0,69.0,16,0,0.0,2,14.5,31,2022-2023
David Soria,es ESP,30-022,90,11,2,9,81.8,2.9,18,33,54.5,26,2,88.5,57.7,10,100.0,70.5,10,1,10.0,3,21.5,31,2022-2023
Fernando,es ESP,32-320,90,9,1,8,88.9,1.9,13,35,37.1,44,9,61.4,46.8,10,80.0,58.7,25,0,0.0,1,21.0,31,2022-2023
Ivo Grbić,hr CRO,27-098,90,2,1,1,50.0,0.3,1,3,33.3,13,4,0.0,18.7,3,100.0,65.7,19,0,0.0,4,19.3,31,2022-2023
Predrag Rajković,rs SRB,27-177,90,9,3,6,66.7,2.3,12,31,38.7,21,4,76.2,57.6,15,100.0,67.7,24,3,12.5,0,7.3,31,2022-2023
Stole Dimitrievski,mk MKD,29-122,90,5,1,4,80.0,1.1,7,19,36.8,28,7,53.6,43.4,6,66.7,55.0,16,0,0.0,4,20.4,31,2022-2023
Marc-André ter Stegen,de GER,30-361,90,6,2,4,66.7,1.8,7,15,46.7,44,10,31.8,33.7,5,20.0,32.4,14,0,0.0,1,20.7,31,2022-2023
Iván Villar,es ESP,25-291,90,1,0,1,100.0,0.3,9,14,64.3,23,2,30.4,35.0,7,100.0,58.4,19,0,0.0,1,12.3,31,2022-2023
Édgar Badía,es ESP,31-073,90,9,1,8,88.9,1.2,4,6,66.7,40,6,12.5,28.1,4,25.0,34.5,23,0,0.0,0,9.7,31,2022-2023
Giorgi Mamardashvili,ge GEO,22-210,90,2,1,1,50.0,0.7,8,19,42.1,20,1,65.0,45.6,6,100.0,62.5,7,0,0.0,2,32.5,31,2022-2023
Jordi Masip,es ESP,34-114,90,6,2,4,66.7,0.9,3,11,27.3,22,6,31.8,36.6,12,33.3,33.9,26,1,3.8,0,8.7,31,2022-2023
Pepe Reina,es ESP,40-239,90,4,2,2,50.0,1.5,3,6,50.0,15,4,20.0,28.1,6,50.0,40.2,6,1,16.7,1,17.5,31,2022-2023
Fernando Pacheco,es ESP,30-344,90,13,4,8,69.2,3.5,11,19,57.9,25,4,44.0,37.3,8,100.0,67.5,9,0,0.0,0,9.7,31,2022-2023
Unai Simón,es ESP,25-320,90,1,1,0,100.0,1.0,2,8,25.0,22,5,18.2,30.2,5,80.0,51.0,14,0,0.0,1,18.0,31,2022-2023
Marko Dmitrović,rs SRB,31-093,90,0,0,0,,0.0,6,32,18.8,34,3,70.6,46.0,8,100.0,65.9,15,0,0.0,0,15.3,31,2022-2023
