player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Jeremías Ledesma,ar ARG,30-095,90,2,0,2,100.0,0.4,7,22,31.8,22,4,59.1,46.7,9,100.0,70.3,14,0,0.0,0,16.0,35,2022-2023
Jordi Masip,es ESP,34-136,90,4,2,2,75.0,1.3,6,17,35.3,17,3,64.7,45.4,7,85.7,61.1,14,1,7.1,0,3.0,35,2022-2023
Paulo Gazzaniga,ar ARG,31-138,90,5,2,3,60.0,1.9,6,12,50.0,34,4,26.5,28.6,4,75.0,47.8,10,0,0.0,1,22.0,35,2022-2023
Pepe Reina,es ESP,40-262,90,3,1,2,66.7,1.2,7,9,77.8,25,5,32.0,31.9,1,100.0,54.0,16,2,12.5,1,9.7,35,2022-2023
Unai Simón,es ESP,25-343,90,3,1,2,66.7,1.2,1,9,11.1,34,4,23.5,31.3,2,50.0,45.0,13,2,15.4,0,6.0,35,2022-2023
Iván Villar,es ESP,25-315,90,3,2,1,33.3,0.9,2,15,13.3,28,7,32.1,31.1,12,50.0,47.3,11,1,9.1,1,13.3,35,2022-2023
David Soria,es ESP,30-046,90,4,1,3,75.0,1.2,12,25,48.0,16,1,87.5,61.3,11,100.0,62.2,22,2,9.1,0,8.3,35,2022-2023
Édgar Badía,es ESP,31-097,90,5,1,4,80.0,1.8,3,11,27.3,30,6,26.7,31.3,8,37.5,34.5,16,0,0.0,1,19.0,35,2022-2023
Fernando,es ESP,32-344,90,3,0,3,100.0,0.2,2,13,15.4,21,7,28.6,33.6,7,100.0,58.9,18,3,16.7,0,4.0,35,2022-2023
Predrag Rajković,rs SRB,27-201,90,3,3,0,0.0,1.7,11,20,55.0,24,3,66.7,43.6,4,100.0,59.3,13,0,0.0,1,26.0,35,2022-2023
Marc-André ter Stegen,de GER,31-020,90,6,2,4,66.7,2.3,5,11,45.5,39,4,20.5,31.2,5,60.0,39.2,7,0,0.0,1,15.0,35,2022-2023
Álex Remiro,es ESP,28-057,90,4,1,3,75.0,1.0,7,17,41.2,29,3,44.8,40.1,4,100.0,63.3,14,0,0.0,0,6.5,35,2022-2023
Stole Dimitrievski,mk MKD,29-147,90,6,2,4,66.7,1.8,2,7,28.6,21,4,19.0,29.8,7,42.9,36.3,12,1,8.3,1,12.5,35,2022-2023
Fernando Pacheco,es ESP,31-003,90,5,1,4,100.0,1.3,8,16,50.0,30,3,33.3,37.8,8,75.0,53.6,21,3,14.3,4,16.1,35,2022-2023
Ivo Grbić,hr CRO,27-123,90,2,0,2,100.0,0.4,5,10,50.0,27,6,33.3,31.4,13,7.7,21.7,27,3,11.1,0,7.3,35,2022-2023
Sergio Herrera,es ESP,29-350,90,5,3,2,40.0,2.6,5,11,45.5,32,4,31.3,31.0,7,14.3,26.9,13,1,7.7,0,4.0,35,2022-2023
Giorgi Mamardashvili,ge GEO,22-234,90,5,0,5,100.0,2.1,3,23,13.0,16,4,75.0,47.7,11,100.0,67.9,21,2,9.5,0,4.7,35,2022-2023
Thibaut Courtois,be BEL,31-010,90,6,1,5,83.3,1.7,1,5,20.0,28,5,17.9,26.0,5,0.0,14.6,11,1,9.1,2,16.3,35,2022-2023
Marko Dmitrović,rs SRB,31-117,90,0,0,0,,0.0,10,24,41.7,23,1,65.2,46.0,10,90.0,64.9,9,0,0.0,1,27.0,35,2022-2023
Claudio Bravo,cl CHI,40-038,90,4,0,4,100.0,1.1,7,26,26.9,30,2,56.7,40.0,10,90.0,53.7,22,0,0.0,0,11.0,35,2022-2023
