player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Agustín Marchesín,ar ARG,34-303,90,1,1,0,0.0,0.4,5,12,41.7,38,5,23.7,31.3,4,75.0,47.8,6,0,0.0,2,26.0,17,2022-2023
Pepe Reina,es ESP,40-135,90,8,1,7,87.5,2.1,6,8,75.0,28,2,10.7,21.0,6,83.3,52.0,29,0,0.0,0,17.8,17,2022-2023
Jordi Masip,es ESP,34-011,90,6,1,4,83.3,2.1,4,13,30.8,23,4,30.4,34.3,8,75.0,50.4,10,0,0.0,0,,17,2022-2023
Stole Dimitrievski,mk MKD,29-020,90,2,0,2,100.0,0.2,4,16,25.0,22,3,50.0,39.0,10,50.0,41.1,12,1,8.3,5,20.9,17,2022-2023
Paulo Gazzaniga,ar ARG,31-012,90,2,1,1,50.0,0.4,5,15,33.3,30,5,30.0,32.6,11,54.5,46.5,18,1,5.6,0,5.0,17,2022-2023
Yassine Bounou,ma MAR,31-284,90,7,2,5,71.4,2.2,8,10,80.0,52,8,15.4,24.9,8,25.0,29.8,21,3,14.3,3,19.6,17,2022-2023
Aitor Fernández,es ESP,31-256,90,2,0,2,100.0,0.3,6,14,42.9,23,2,52.2,41.4,3,66.7,54.0,8,0,0.0,0,10.0,17,2022-2023
Predrag Rajković,rs SRB,27-075,90,4,1,3,75.0,0.8,8,17,47.1,22,5,59.1,42.1,13,30.8,29.4,17,1,5.9,0,11.0,17,2022-2023
Álex Remiro,es ESP,27-296,90,2,1,1,50.0,0.6,10,26,38.5,38,1,57.9,46.4,6,66.7,59.2,8,0,0.0,3,19.6,17,2022-2023
Unai Simón,es ESP,25-217,90,5,3,2,60.0,2.6,8,22,36.4,36,5,52.8,44.7,4,75.0,58.0,7,0,0.0,1,18.0,17,2022-2023
David Soria,es ESP,29-286,90,4,2,2,50.0,0.2,6,12,50.0,14,4,42.9,38.7,9,66.7,46.9,11,0,0.0,2,27.5,17,2022-2023
Álvaro Fernández,es ESP,24-277,90,2,1,1,50.0,0.7,8,18,44.4,16,1,62.5,43.9,9,88.9,60.9,19,0,0.0,1,27.0,17,2022-2023
Fernando,es ESP,32-219,90,6,1,5,83.3,1.7,4,10,40.0,25,3,32.0,34.3,6,33.3,37.8,7,1,14.3,1,13.4,17,2022-2023
Jan Oblak,si SVN,30-008,90,3,1,2,66.7,0.7,10,27,37.0,30,7,53.3,39.9,13,84.6,55.9,13,1,7.7,0,8.0,17,2022-2023
Jeremías Ledesma,ar ARG,29-337,90,5,1,4,80.0,0.5,12,34,35.3,23,3,82.6,54.2,15,100.0,69.7,20,1,5.0,2,14.2,17,2022-2023
Édgar Badía,es ESP,30-338,90,3,1,2,66.7,0.6,4,5,80.0,11,4,9.1,29.2,10,40.0,37.7,14,1,7.1,1,16.4,17,2022-2023
Predrag Rajković,rs SRB,27-081,90,3,0,3,100.0,0.1,7,19,36.8,26,3,61.5,43.4,6,50.0,38.0,16,0,0.0,0,4.3,18,2022-2023
Agustín Marchesín,ar ARG,34-310,90,3,1,2,66.7,0.7,4,13,30.8,26,4,38.5,35.2,3,100.0,62.3,12,1,8.3,1,22.0,18,2022-2023
Stole Dimitrievski,mk MKD,29-027,90,7,2,5,71.4,2.2,4,14,28.6,32,9,37.5,38.7,5,40.0,37.8,10,0,0.0,0,15.0,18,2022-2023
Álex Remiro,es ESP,27-303,90,2,0,2,100.0,0.3,9,28,32.1,40,9,52.5,40.7,7,100.0,71.7,15,0,0.0,0,,18,2022-2023
