player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Sergio Herrera,es ESP,29-327,90,7,2,6,71.4,2.0,12,23,52.2,35,5,54.3,39.4,5,80.0,52.6,3,0,0.0,1,113.0,32,2022-2023
Álex Remiro,es ESP,28-035,90,1,0,1,100.0,0.1,10,20,50.0,30,0,46.7,40.0,10,60.0,54.1,24,2,8.3,1,13.0,32,2022-2023
Édgar Badía,es ESP,31-076,90,2,0,2,100.0,0.1,3,8,37.5,23,4,17.4,26.9,7,57.1,38.4,18,0,0.0,2,18.5,32,2022-2023
Stole Dimitrievski,mk MKD,29-125,90,9,4,5,55.6,2.8,4,18,22.2,18,4,50.0,42.7,11,81.8,59.7,9,0,0.0,1,22.0,32,2022-2023
Thibaut Courtois,be BEL,30-353,90,3,2,1,33.3,1.6,1,1,100.0,25,3,4.0,22.8,4,0.0,15.5,7,0,0.0,0,13.5,32,2022-2023
Fernando,es ESP,32-323,90,8,4,4,62.5,2.9,4,10,40.0,23,6,13.0,31.1,10,70.0,45.8,13,0,0.0,0,4.0,32,2022-2023
Marc-André ter Stegen,de GER,30-364,90,1,0,1,100.0,0.3,2,2,100.0,19,2,10.5,21.5,3,0.0,14.3,2,0,0.0,4,32.5,32,2022-2023
Rui Silva,pt POR,29-081,90,6,4,3,33.3,2.1,12,21,57.1,31,6,41.9,37.5,10,80.0,49.9,17,0,0.0,2,18.2,32,2022-2023
Jeremías Ledesma,ar ARG,30-076,90,3,1,2,66.7,0.9,7,25,28.0,18,1,72.2,48.9,12,100.0,73.6,32,3,9.4,2,13.2,32,2022-2023
Giorgi Mamardashvili,ge GEO,22-213,90,3,2,1,33.3,2.0,3,16,18.8,16,2,75.0,47.2,4,100.0,61.8,12,1,8.3,4,24.7,32,2022-2023
Pepe Reina,es ESP,40-242,90,5,1,4,80.0,0.4,2,9,22.2,40,3,20.0,29.9,1,100.0,61.0,25,0,0.0,0,6.4,32,2022-2023
Iván Villar,es ESP,25-295,90,3,3,0,0.0,1.8,3,11,27.3,33,8,24.2,29.3,8,37.5,37.8,5,0,0.0,0,5.0,32,2022-2023
Fernando Pacheco,es ESP,30-347,90,2,0,2,100.0,0.2,10,23,43.5,33,3,57.6,43.6,4,100.0,61.8,17,0,0.0,0,9.0,32,2022-2023
David Soria,es ESP,30-026,90,8,1,7,100.0,1.8,16,28,57.1,21,2,95.2,56.2,8,100.0,60.3,12,2,16.7,1,14.3,32,2022-2023
Jordi Masip,es ESP,34-117,90,5,5,1,0.0,2.3,2,5,40.0,21,5,19.0,28.4,4,25.0,27.3,3,0,0.0,2,12.8,32,2022-2023
Ivo Grbić,hr CRO,27-102,90,6,2,4,83.3,2.1,9,22,40.9,16,7,62.5,44.6,12,100.0,67.3,30,3,10.0,0,6.5,32,2022-2023
Predrag Rajković,rs SRB,27-182,90,6,1,5,100.0,1.2,11,33,33.3,28,3,82.1,55.5,10,100.0,72.1,29,2,6.9,0,9.7,32,2022-2023
Julen Agirrezabala,es ESP,22-126,90,2,1,1,50.0,0.5,3,5,60.0,25,12,12.0,22.9,4,50.0,45.3,12,5,41.7,4,15.5,32,2022-2023
Marko Dmitrović,rs SRB,31-097,90,3,2,1,33.3,0.7,5,10,50.0,24,3,33.3,32.8,4,50.0,43.3,3,0,0.0,1,14.3,32,2022-2023
Paulo Gazzaniga,ar ARG,31-119,90,5,0,5,100.0,0.9,4,18,22.2,30,7,30.0,30.9,12,75.0,53.5,35,2,5.7,0,3.7,32,2022-2023
