player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Valentín Castellanos,9,ar ARG,FW,24-117,69,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,19,2022-2023
   Cristhian Stuani,7,uy URU,FW,36-108,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
Yangel Herrera,21,ve VEN,FW,25-014,58,2,1,1,1,0,1,3,33.3,2,1,0,1,0,2,0,0,19,2022-2023
   Valery Fernández,11,es ESP,FW,23-066,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
Rodrigo Riquelme,17,es ESP,LM,22-301,80,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,19,2022-2023
   Joel Roca,33,es ESP,LM,17-235,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
Aleix García,14,es ESP,CM,25-214,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,19,2022-2023
Oriol Romeu,18,es ESP,CM,31-126,90,2,2,1,1,0,0,0,,0,3,1,2,2,4,1,0,19,2022-2023
Yan Couto,20,br BRA,RM,20-239,69,2,2,0,2,0,1,1,100.0,0,0,0,0,1,3,0,0,19,2022-2023
   Toni Villa,12,es ESP,RM,28-021,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
Miguel Gutiérrez,3,es ESP,LB,21-185,90,2,1,2,0,0,2,2,100.0,0,0,0,0,3,5,0,0,19,2022-2023
Juanpe,15,es ESP,CB,31-273,80,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,19,2022-2023
   Iván Martín,23,es ESP,CB,23-348,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
Bernardo Espinosa,2,co COL,CB,33-201,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,8,0,19,2022-2023
Arnau Martinez,4,es ESP,RB,19-278,90,4,1,1,3,0,3,3,100.0,0,2,1,1,1,5,1,0,19,2022-2023
Paulo Gazzaniga,13,ar ARG,GK,31-026,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,19,2022-2023
Ansu Fati,10,es ESP,FW,20-089,80,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,19,2022-2023
   Alejandro Balde,28,es ESP,FW,19-102,10,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,19,2022-2023
Ousmane Dembélé,7,fr FRA,LW,25-258,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19,2022-2023
   Pedri,8,es ESP,RM,20-064,65,2,1,1,1,0,0,0,,0,1,0,1,0,2,0,0,19,2022-2023
Raphinha,22,br BRA,RW,26-045,87,2,2,0,1,1,1,3,33.3,2,2,0,2,0,2,2,0,19,2022-2023
   Franck Kessié,19,ci CIV,RW,26-040,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,19,2022-2023
Frenkie de Jong,21,nl NED,LM,25-261,90,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,0,0,19,2022-2023
Sergio Busquets,5,es ESP,CM,34-196,90,1,1,0,1,0,0,3,0.0,3,0,0,0,2,3,2,0,19,2022-2023
Gavi,30,es ESP,"LW,RM",18-176,90,2,2,0,2,0,0,0,,0,0,0,0,0,2,0,0,19,2022-2023
Marcos Alonso,17,es ESP,LB,32-031,45,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,19,2022-2023
   Jordi Alba,18,es ESP,LB,33-313,45,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,3,0,19,2022-2023
