player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Predrag Rajković,rs SRB,27-151,90,2,0,2,100.0,0.6,10,22,45.5,23,3,73.9,53.3,6,83.3,58.0,20,2,10.0,0,5.5,27,2022-2023
Sergio Herrera,es ESP,29-299,90,1,0,1,100.0,0.0,12,24,50.0,21,2,71.4,47.3,10,90.0,58.9,12,2,16.7,0,5.0,27,2022-2023
Paulo Gazzaniga,ar ARG,31-089,90,1,1,0,0.0,1.0,4,10,40.0,20,6,30.0,32.6,7,57.1,48.9,9,3,33.3,0,7.8,27,2022-2023
Fernando Pacheco,es ESP,30-318,90,4,2,2,75.0,1.4,17,38,44.7,29,1,82.8,49.4,15,93.3,58.9,16,2,12.5,1,9.0,27,2022-2023
Julen Agirrezabala,es ESP,22-096,90,1,0,1,100.0,0.1,8,15,53.3,19,1,42.1,31.8,9,77.8,53.8,11,0,0.0,0,16.0,27,2022-2023
David Soria,es ESP,29-362,90,3,0,3,100.0,0.3,17,29,58.6,22,4,77.3,50.8,13,92.3,58.0,32,3,9.4,0,6.2,27,2022-2023
David Gil,es ESP,29-080,90,5,2,3,60.0,1.2,11,29,37.9,37,5,62.2,45.8,6,100.0,63.3,12,0,0.0,2,17.4,27,2022-2023
Marko Dmitrović,rs SRB,31-067,90,3,0,3,100.0,0.5,11,31,35.5,26,2,80.8,52.7,12,83.3,63.8,32,1,3.1,0,4.8,27,2022-2023
Édgar Badía,es ESP,31-048,90,5,4,1,20.0,1.2,5,9,55.6,23,5,30.4,33.4,4,50.0,36.5,10,0,0.0,1,17.2,27,2022-2023
Marc-André ter Stegen,de GER,30-336,90,2,0,2,100.0,0.4,4,8,50.0,33,2,21.2,28.6,6,16.7,18.3,24,0,0.0,0,8.3,27,2022-2023
Iván Villar,es ESP,25-267,90,3,2,1,33.3,1.0,2,7,28.6,15,3,26.7,29.5,5,60.0,46.8,4,0,0.0,0,14.5,27,2022-2023
Fernando,es ESP,32-296,90,5,2,3,60.0,2.0,5,13,38.5,28,6,25.0,31.8,13,46.2,40.0,16,2,12.5,1,11.0,27,2022-2023
Thibaut Courtois,be BEL,30-326,90,2,0,2,100.0,0.1,2,5,40.0,28,6,14.3,28.6,9,11.1,30.1,11,1,9.1,2,19.0,27,2022-2023
Sergio Asenjo,es ESP,33-278,90,17,6,11,64.7,4.5,4,13,30.8,33,11,33.3,34.9,5,40.0,40.4,11,1,9.1,1,11.3,27,2022-2023
Pepe Reina,es ESP,40-214,90,3,0,3,100.0,0.2,4,22,18.2,40,5,47.5,40.5,7,42.9,43.6,10,1,10.0,0,5.0,27,2022-2023
Álex Remiro,es ESP,28-009,90,4,2,2,75.0,1.5,7,13,53.8,21,4,42.9,36.2,8,50.0,41.3,8,2,25.0,2,15.0,27,2022-2023
Jan Oblak,si SVN,30-085,90,2,0,2,100.0,0.1,1,4,25.0,19,5,21.1,31.1,6,0.0,25.8,11,1,9.1,2,20.7,27,2022-2023
Rui Silva,pt POR,29-054,90,7,1,6,85.7,1.6,4,17,23.5,24,3,58.3,40.5,5,60.0,42.4,18,1,5.6,0,16.5,27,2022-2023
Giorgi Mamardashvili,ge GEO,22-186,90,2,1,1,50.0,0.7,9,13,69.2,23,4,21.7,30.7,8,100.0,66.5,9,0,0.0,6,39.3,27,2022-2023
Stole Dimitrievski,mk MKD,29-099,90,4,1,3,100.0,2.1,4,23,17.4,25,2,56.0,42.5,17,52.9,45.0,32,1,3.1,2,16.8,27,2022-2023
