player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Paulo Gazzaniga,13,ar ARG,GK,31-138,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Nicolas Jackson,15,sn SEN,FW,21-334,90,0,0,0,1,3,1,1,0,1,0,0,0,2,1,0,100.0,35,2022-2023
Yeremi Pino,21,es ESP,LW,20-212,79,1,0,0,1,1,0,0,1,3,0,0,0,2,0,1,0.0,35,2022-2023
   Manu Trigueros,14,es ESP,AM,31-215,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,35,2022-2023
Samuel Chukwueze,11,ng NGA,RW,23-363,61,0,0,0,3,3,0,0,0,1,0,0,0,6,0,0,,35,2022-2023
   Gerard Moreno,7,es ESP,RW,31-043,29,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,100.0,35,2022-2023
Alex Baena,16,es ESP,"AM,LW",21-304,90,0,0,0,3,0,1,1,1,2,0,0,0,5,0,0,,35,2022-2023
Étienne Capoue,6,fr FRA,DM,34-313,90,0,0,0,0,1,0,0,2,0,0,0,0,7,1,0,100.0,35,2022-2023
Ramón Terrats,39,es ESP,DM,22-214,61,0,0,0,0,3,0,1,1,0,0,0,0,6,0,0,,35,2022-2023
   Giovani Lo Celso,17,ar ARG,DM,27-041,29,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,,35,2022-2023
Alfonso Pedraza,24,es ESP,LB,27-041,62,0,0,0,0,0,0,5,1,1,0,0,0,6,0,0,,35,2022-2023
   Alberto Moreno,18,es ESP,LB,30-319,28,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,35,2022-2023
Jorge Cuenca,5,es ESP,CB,23-184,90,0,0,0,0,0,0,0,0,2,0,0,0,6,2,2,50.0,35,2022-2023
Aïssa Mandi,23,dz ALG,CB,31-210,90,0,0,0,1,1,0,0,2,0,0,0,0,6,1,1,50.0,35,2022-2023
Juan Foyth,8,ar ARG,RB,25-128,67,0,0,0,1,0,0,0,0,1,0,0,0,4,0,3,0.0,35,2022-2023
   Kiko Femenía,2,es ESP,RB,32-107,23,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,,35,2022-2023
Pepe Reina,1,es ESP,GK,40-262,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Iñaki Williams,9,gh GHA,FW,28-339,82,0,0,0,1,0,0,1,0,0,0,0,0,2,3,2,60.0,35,2022-2023
   Adu Ares,29,es ESP,"RW,FW",21-220,8,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,,35,2022-2023
Álex Berenguer,7,es ESP,"LM,RW,LW",27-320,90,0,0,0,3,0,0,4,1,0,0,0,0,4,0,0,,35,2022-2023
Iker Muniain,10,es ESP,"CM,LW",30-152,82,0,0,0,0,4,0,6,0,1,0,0,0,6,0,0,,35,2022-2023
   Raúl García,22,es ESP,FW,36-313,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,35,2022-2023
Oihan Sancet,8,es ESP,"CM,AM",23-025,90,0,0,0,1,1,0,0,1,1,0,0,0,2,2,1,66.7,35,2022-2023
Nico Williams,11,es ESP,RM,20-312,58,1,0,0,2,1,0,0,0,1,0,0,0,5,1,1,50.0,35,2022-2023
   Ander Herrera,23,es ESP,DM,33-279,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,35,2022-2023
   Mikel Vesga,6,es ESP,DM,29-364,16,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,100.0,35,2022-2023
Dani García,14,es ESP,DM,32-361,81,1,0,0,3,0,0,1,1,1,0,0,0,8,0,0,,35,2022-2023
   Oier Zarraga,19,es ESP,DM,24-136,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,35,2022-2023
Yuri Berchiche,17,es ESP,LB,33-099,90,0,0,0,0,0,0,0,3,2,0,0,0,7,3,0,100.0,35,2022-2023
Aitor Paredes,31,es ESP,CB,23-021,90,1,0,0,1,0,0,0,4,2,0,0,0,9,3,0,100.0,35,2022-2023
Daniel Vivian,3,es ESP,CB,23-309,90,0,0,0,3,1,0,0,0,2,0,0,0,3,1,1,50.0,35,2022-2023
Óscar de Marcos,18,es ESP,RB,34-036,90,0,0,0,1,1,0,2,1,2,0,0,0,8,1,0,100.0,35,2022-2023
Unai Simón,1,es ESP,GK,25-343,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Jørgen Strand Larsen,18,no NOR,FW,23-103,60,0,0,0,1,3,1,1,0,0,0,0,0,3,0,2,0.0,35,2022-2023
   Haris Seferović,22,ch SUI,FW,31-087,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,35,2022-2023
Gabriel Veiga,24,es ESP,FW,20-358,76,0,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0.0,35,2022-2023
   Gonçalo Paciência,9,pt POR,FW,28-292,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,35,2022-2023
Franco Cervi,11,ar ARG,AM,28-359,45,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,,35,2022-2023
   Miguel Rodríguez,29,es ESP,AM,20-021,45,0,0,0,2,1,1,2,0,2,0,0,0,3,0,2,0.0,35,2022-2023
Carles Pérez,7,es ESP,AM,25-093,90,0,0,0,2,1,0,2,0,1,0,0,0,2,0,3,0.0,35,2022-2023
Óscar Rodríguez Arnaiz,5,es ESP,DM,24-326,90,0,0,0,0,1,0,4,4,0,0,0,0,2,0,1,0.0,35,2022-2023
Fran Beltrán,8,es ESP,DM,24-106,23,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,35,2022-2023
   Luca de la Torre,23,us USA,DM,24-362,67,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,35,2022-2023
