player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Kiké,18,es ESP,FW,33-154,59,26,2,2,13,11,4,26,1,1,100.0,0,0.0,15,30,8,0,2,0,2,2,25,1,32,2022-2023
   Ante Budimir,17,hr CRO,FW,31-280,31,12,0,0,5,7,5,12,4,3,75.0,0,0.0,7,72,44,2,1,1,1,0,10,3,32,2022-2023
Moi Gómez,16,es ESP,"DM,LW",28-309,90,52,0,7,26,20,2,52,1,1,100.0,0,0.0,33,263,106,3,4,0,1,0,33,0,32,2022-2023
Kike Barja,11,es ESP,"RW,LW",26-027,68,32,0,2,5,25,3,32,3,2,66.7,1,33.3,20,135,82,3,2,1,4,0,23,8,32,2022-2023
   Ezequiel Ávila,9,ar ARG,"RW,LW",29-081,22,12,0,0,3,9,1,12,0,0,,0,,4,20,14,0,1,0,1,0,5,2,32,2022-2023
Aimar Oroz,22,es ESP,AM,21-152,73,29,1,3,13,13,4,29,1,0,0.0,1,100.0,15,29,8,0,0,0,2,1,18,3,32,2022-2023
   Pablo Ibáñez,19,es ESP,AM,24-220,17,10,0,2,5,3,0,10,0,0,,0,,6,29,14,1,0,0,0,1,9,1,32,2022-2023
Iker Muñoz,34,es ESP,DM,20-174,73,44,0,10,29,5,0,44,0,0,,0,,17,70,17,0,1,0,0,0,24,1,32,2022-2023
   Lucas Torró,6,es ESP,DM,28-283,17,9,2,6,2,1,1,9,0,0,,0,,3,17,1,0,0,0,0,0,3,0,32,2022-2023
Jon Moncayola,7,es ESP,"RB,DM",24-350,90,78,1,19,38,23,0,78,0,0,,0,,34,128,55,1,2,0,0,1,41,5,32,2022-2023
Manu Sánchez,20,es ESP,LB,22-247,90,60,5,24,15,21,1,60,2,0,0.0,2,100.0,26,180,97,3,2,0,1,2,28,6,32,2022-2023
Juan Cruz Armada,3,es ESP,CB,30-274,90,38,2,28,10,0,0,38,0,0,,0,,19,101,38,0,0,0,0,0,27,0,32,2022-2023
Aridane Hernández,23,es ESP,CB,34-036,90,65,4,28,35,2,2,65,1,1,100.0,0,0.0,37,122,41,0,0,0,1,0,38,0,32,2022-2023
Rubén Peña,15,es ESP,"RB,RW",31-284,68,41,2,8,15,19,3,41,4,3,75.0,0,0.0,25,101,17,0,2,0,6,2,27,3,32,2022-2023
   Rubén García,14,es ESP,"LW,RW",29-288,22,12,0,0,2,10,0,12,0,0,,0,,8,19,6,0,0,0,1,0,10,3,32,2022-2023
Sergio Herrera,1,es ESP,GK,29-327,90,46,39,46,0,0,0,46,1,1,100.0,0,0.0,27,162,96,0,0,0,1,0,25,0,32,2022-2023
Carlos Fernández,9,es ESP,FW,26-341,62,16,1,3,6,8,3,16,1,1,100.0,0,0.0,7,72,38,1,2,0,0,0,14,2,32,2022-2023
   Alexander Sørloth,19,no NOR,FW,27-144,28,16,0,0,7,9,3,16,1,1,100.0,0,0.0,8,49,23,0,0,0,1,0,13,1,32,2022-2023
Ander Barrenetxea,7,es ESP,LW,21-122,62,32,0,5,11,16,3,32,4,2,50.0,2,50.0,24,130,50,2,0,1,6,0,23,4,32,2022-2023
   Takefusa Kubo,14,jp JPN,LW,21-328,28,11,0,0,3,9,4,11,4,4,100.0,0,0.0,10,115,71,3,1,2,1,0,9,1,32,2022-2023
Mohamed Ali Cho,11,fr FRA,RW,19-099,45,22,0,2,6,15,4,22,0,0,,0,,15,76,56,2,1,0,2,0,19,6,32,2022-2023
   Mikel Oyarzabal,10,es ESP,RW,26-007,45,29,1,4,12,13,2,29,1,0,0.0,1,100.0,18,75,21,1,0,1,3,1,17,4,32,2022-2023
David Silva,21,es ESP,LM,37-110,76,54,3,9,27,18,3,54,1,1,100.0,0,0.0,34,189,107,4,2,2,3,0,37,3,32,2022-2023
   Brais Méndez,23,es ESP,LM,26-111,14,6,0,0,1,5,0,6,0,0,,0,,2,5,0,0,0,0,0,0,2,0,32,2022-2023
Martín Zubimendi,3,es ESP,CM,24-085,90,63,5,19,36,10,1,63,0,0,,0,,36,168,67,1,2,0,2,1,40,2,32,2022-2023
Mikel Merino,8,es ESP,RM,26-310,90,64,5,13,29,22,6,64,1,0,0.0,1,100.0,35,137,66,1,2,0,3,1,41,5,32,2022-2023
