player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Borja Mayoral,21,es ESP,FW,22-211,90,0,0,0,0,2,1,1,0,1,0,0,0,6,0,3,0.0,12,2019-2020
José Luis Morales,11,es ESP,FW,32-102,81,0,0,0,4,1,2,3,0,1,0,0,0,4,0,1,0.0,12,2019-2020
   Nikola Vukčević,17,me MNE,FW,27-324,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,12,2019-2020
Enis Bardhi,10,mk MKD,LM,24-123,61,1,0,0,1,1,0,3,0,1,0,0,0,1,0,1,0.0,12,2019-2020
   Rubén Rochina,16,es ESP,LM,28-224,29,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0.0,12,2019-2020
Gonzalo Melero,22,es ESP,CM,25-304,90,0,0,0,1,2,1,0,0,0,0,0,0,4,2,4,33.3,12,2019-2020
Nemanja Radoja,5,rs SRB,CM,26-269,90,0,0,0,0,1,0,0,1,2,0,0,0,10,0,0,,12,2019-2020
José Campaña,24,es ESP,RM,26-155,86,0,0,0,0,1,0,4,1,1,0,0,0,6,0,1,0.0,12,2019-2020
   Erick Cabaco,18,uy URU,RM,24-197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,2019-2020
Carlos Clerc,19,es ESP,LB,27-254,90,0,0,0,2,2,0,1,2,0,0,0,0,3,0,1,0.0,12,2019-2020
Rúben Vezo,14,pt POR,CB,25-191,90,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,33.3,12,2019-2020
Sergio Postigo,15,es ESP,CB,30-363,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,12,2019-2020
Jorge Miramón,20,es ESP,RB,30-153,90,0,0,0,1,2,0,2,1,0,0,1,0,10,2,0,100.0,12,2019-2020
Aitor Fernández,13,es ESP,GK,28-183,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,12,2019-2020
Luis Suárez,9,uy URU,FW,32-282,40,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,,12,2019-2020
   Carles Pérez,27,es ESP,LW,21-259,50,0,0,0,0,0,2,1,0,0,0,0,0,4,0,1,0.0,12,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-226,90,1,0,0,0,0,2,0,1,0,0,0,0,7,2,1,66.7,12,2019-2020
Lionel Messi,10,ar ARG,RW,32-131,90,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,12,2019-2020
Arthur Melo,8,br BRA,LM,23-082,65,1,0,0,2,0,0,1,1,1,0,0,0,2,0,0,,12,2019-2020
   Ansu Fati,31,es ESP,LM,17-002,25,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,,12,2019-2020
Frenkie de Jong,21,nl NED,CM,22-174,90,0,0,0,0,3,0,0,0,1,0,0,0,7,0,0,,12,2019-2020
Arturo Vidal,22,cl CHI,RM,32-164,63,0,0,0,2,0,1,1,1,1,0,0,0,2,0,2,0.0,12,2019-2020
   Sergio Busquets,5,es ESP,RM,31-109,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,2019-2020
Nélson Semedo,2,pt POR,LB,25-351,90,0,0,0,1,1,0,0,1,1,1,0,0,5,1,0,100.0,12,2019-2020
Clément Lenglet,15,fr FRA,CB,24-138,90,1,0,0,1,0,0,0,0,1,0,0,0,3,2,1,66.7,12,2019-2020
Gerard Piqué,3,es ESP,CB,32-273,90,1,0,0,2,0,0,0,0,0,0,0,0,9,6,0,100.0,12,2019-2020
Sergi Roberto,20,es ESP,RB,27-268,90,1,0,0,2,3,0,1,1,0,0,0,0,8,2,0,100.0,12,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-186,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,12,2019-2020
Luuk de Jong,19,nl NED,FW,29-067,76,0,0,0,2,1,0,0,0,0,0,0,0,1,3,2,60.0,12,2019-2020
   Javier Hernández,14,mx MEX,FW,31-154,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,12,2019-2020
Lucas Ocampos,5,ar ARG,FW,25-114,90,0,0,0,2,1,0,4,0,0,0,0,0,1,2,1,66.7,12,2019-2020
Sergio Reguilón,23,es ESP,LW,22-321,90,0,0,0,2,1,0,1,3,3,0,0,0,7,0,1,0.0,12,2019-2020
Jesús Navas,16,es ESP,RW,33-346,90,0,0,0,1,1,0,7,0,1,0,0,0,6,0,0,,12,2019-2020
Óliver Torres,21,es ESP,CM,24-357,56,1,0,0,1,0,0,0,1,3,0,0,0,7,1,2,33.3,12,2019-2020
   Joan Jordán,24,es ESP,CM,25-119,34,1,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0.0,12,2019-2020
Franco Vázquez,22,ar ARG,CM,30-253,90,1,0,0,1,5,0,2,0,1,0,0,0,8,2,2,50.0,12,2019-2020
Éver Banega,10,ar ARG,DM,31-126,85,0,0,0,0,3,0,4,0,0,0,0,0,10,2,0,100.0,12,2019-2020
   Alejandro Pozo Pozo,15,es ESP,CM,20-253,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,12,2019-2020
Jules Koundé,12,fr FRA,CB,20-355,90,0,0,0,0,2,0,0,4,1,0,0,0,8,5,5,50.0,12,2019-2020
Diego Carlos,20,br BRA,CB,26-232,90,0,0,0,1,0,0,0,2,1,0,0,0,4,3,4,42.9,12,2019-2020
