player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Sergio Herrera,es ESP,27-036,90,3,1,2,66.7,0.9,11,32,34.4,32,4,81.3,52.8,6,100.0,69.0,9,2,22.2,2,15.2,36,2019-2020
Iván Villar,es ESP,23-002,90,5,2,3,60.0,1.0,6,20,30.0,13,1,61.5,44.5,14,85.7,64.3,22,1,4.5,0,9.8,36,2019-2020
Jordi Masip,es ESP,31-190,90,6,1,5,83.3,1.2,2,12,16.7,20,6,55.0,40.4,4,25.0,32.5,4,0,0.0,0,8.0,36,2019-2020
Marc-André ter Stegen,de GER,28-072,90,4,0,4,100.0,1.2,3,7,42.9,40,8,12.5,25.7,8,25.0,31.0,24,1,4.2,1,9.2,36,2019-2020
Jan Oblak,si SVN,27-186,90,3,0,3,100.0,0.5,5,17,29.4,15,4,46.7,39.5,14,71.4,51.8,11,0,0.0,1,12.5,36,2019-2020
Daniel Martín,es ESP,22-003,90,4,1,3,75.0,0.8,9,15,60.0,40,8,30.0,28.9,6,50.0,51.2,7,1,14.3,2,24.3,36,2019-2020
Diego López,es ESP,38-252,90,6,2,3,83.3,2.5,7,12,58.3,25,6,44.0,34.2,7,14.3,27.7,6,0,0.0,2,18.6,36,2019-2020
Marko Dmitrović,rs SRB,28-170,90,3,0,3,100.0,0.2,9,31,29.0,26,1,88.5,61.1,8,100.0,72.8,25,0,0.0,0,9.0,36,2019-2020
Aitor Fernández,es ESP,29-070,90,5,2,3,60.0,0.5,2,8,25.0,28,8,25.0,31.8,6,16.7,25.2,12,0,0.0,3,21.4,36,2019-2020
Unai Simón,es ESP,23-031,90,1,1,0,0.0,1.0,13,25,52.0,27,5,51.9,45.1,13,84.6,57.6,13,1,7.7,0,12.0,36,2019-2020
Iván Cuéllar,es ESP,36-046,90,5,0,4,100.0,1.8,4,27,14.8,21,2,76.2,49.8,13,84.6,59.8,31,0,0.0,0,4.0,36,2019-2020
Jaume Doménech,es ESP,29-250,90,1,1,0,100.0,1.0,5,13,38.5,18,3,50.0,36.7,8,50.0,36.3,4,0,0.0,0,,36,2019-2020
Yassine Bounou,ma MAR,29-098,90,5,0,5,100.0,0.5,6,9,66.7,16,3,25.0,32.8,9,55.6,42.2,11,0,0.0,0,8.5,36,2019-2020
Manolo Reina,es ESP,35-102,90,5,2,3,80.0,1.7,4,20,20.0,25,3,64.0,43.1,9,44.4,37.7,11,2,18.2,0,6.0,36,2019-2020
Roberto,es ESP,34-154,90,4,0,4,100.0,0.3,16,31,51.6,25,0,92.0,57.6,8,100.0,65.6,17,0,0.0,3,24.0,36,2019-2020
David Soria,es ESP,27-100,90,1,0,1,100.0,0.1,13,32,40.6,32,0,96.9,56.6,2,50.0,47.0,11,2,18.2,1,12.7,36,2019-2020
Sergio Asenjo,es ESP,31-015,90,6,2,4,66.7,0.9,2,7,28.6,22,4,22.7,27.8,4,50.0,35.0,16,2,12.5,0,8.2,36,2019-2020
Miguel Ángel Moyá,es ESP,36-102,90,3,1,2,66.7,0.8,8,16,50.0,26,1,38.5,34.8,6,100.0,59.5,11,0,0.0,1,15.7,36,2019-2020
Rui Silva,pt POR,26-157,90,5,2,3,60.0,2.1,4,16,25.0,27,3,55.6,43.7,4,25.0,30.0,9,0,0.0,2,18.3,36,2019-2020
Thibaut Courtois,be BEL,28-063,90,3,1,2,66.7,0.9,3,16,18.8,34,4,26.5,32.8,16,43.8,40.7,14,0,0.0,2,18.7,36,2019-2020
