player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Álvaro Morata,9,es ESP,FW,27-254,61,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,34,2019-2020
   Diego Costa,19,es ESP,FW,31-270,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,2019-2020
João Félix,7,pt POR,FW,20-236,53,1,0,0,0,1,1,1,100.0,0,1,0,1,2,3,0,0,34,2019-2020
   Ángel Correa,10,ar ARG,"RM,FW",25-116,37,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,34,2019-2020
Yannick Carrasco,21,be BEL,LM,26-303,54,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,0,0,34,2019-2020
   Vitolo,20,es ESP,"FW,LM",30-244,36,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,34,2019-2020
Saúl Ñíguez,8,es ESP,CM,25-225,79,2,1,1,1,0,1,5,20.0,4,3,1,2,1,3,0,0,34,2019-2020
   Thomas Partey,5,gh GHA,CM,27-020,11,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,34,2019-2020
Koke,6,es ESP,"CM,LM",28-177,90,5,4,2,2,1,2,3,66.7,1,1,0,1,1,6,1,0,34,2019-2020
Marcos Llorente,14,es ESP,"RM,CM",25-155,90,0,0,0,0,0,0,3,0.0,3,2,0,2,1,1,0,0,34,2019-2020
Manu Sánchez,35,es ESP,LB,19-314,61,6,4,1,3,2,3,7,42.9,4,1,0,1,1,7,0,0,34,2019-2020
   Renan Lodi,12,br BRA,LB,22-086,29,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0,34,2019-2020
José María Giménez,2,uy URU,CB,25-165,90,1,1,1,0,0,0,0,,0,3,2,1,3,4,5,0,34,2019-2020
Stefan Savić,15,me MNE,CB,29-177,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,34,2019-2020
