player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Iñaki Williams,9,gh GHA,FW,25-062,87,13,13,0,0,0,0,0,0,0,0,0,0,8,0,2,1,2019-2020
   Aritz Aduriz,20,es ESP,FW,38-186,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-2020
Iker Muniain,10,es ESP,LW,26-240,90,17,17,0,0,0,0,1,0,0,0,0,0,13,0,0,1,2019-2020
Óscar de Marcos,18,es ESP,RW,30-124,65,15,15,0,0,0,0,4,0,0,0,0,0,6,0,2,1,2019-2020
   Oihan Sancet,34,es ESP,"AM,RW",19-113,25,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2019-2020
Raúl García,22,es ESP,"AM,RW",33-036,90,32,31,0,0,0,0,0,0,0,0,0,0,17,1,0,1,2019-2020
Dani García,14,es ESP,DM,29-084,90,22,21,1,1,0,0,0,0,0,0,0,0,20,0,0,1,2019-2020
Unai López,8,es ESP,DM,23-290,80,39,31,8,4,0,0,4,0,3,2,1,0,28,0,0,1,2019-2020
   Beñat Etxebarria,7,es ESP,DM,32-178,10,3,2,1,1,0,0,1,0,0,0,0,0,2,0,0,1,2019-2020
Yuri Berchiche,17,es ESP,LB,29-187,90,33,28,5,0,1,0,2,5,0,0,0,0,25,0,1,1,2019-2020
Yeray Álvarez,5,es ESP,CB,24-204,90,22,22,0,0,0,0,0,0,0,0,0,0,15,0,1,1,2019-2020
Unai Núñez,3,es ESP,CB,22-198,90,25,23,2,2,0,1,0,0,0,0,0,0,21,0,0,1,2019-2020
Ander Capa,21,es ESP,RB,27-189,90,42,30,11,0,0,0,1,11,0,0,0,0,28,1,1,1,2019-2020
Unai Simón,1,es ESP,GK,22-066,90,24,8,16,1,0,0,0,0,0,0,0,0,15,0,0,1,2019-2020
Luis Suárez,9,uy URU,FW,32-204,36,14,14,0,0,0,0,0,0,0,0,0,0,7,0,2,1,2019-2020
   Rafinha,12,br BRA,"RW,LM",26-185,54,51,48,3,1,0,0,2,1,1,1,0,0,47,0,0,1,2019-2020
Antoine Griezmann,17,fr FRA,"FW,LW",28-148,90,21,19,2,0,0,0,1,0,0,0,0,0,14,0,0,1,2019-2020
Ousmane Dembélé,11,fr FRA,"LW,RW",22-093,90,62,54,8,1,1,1,6,0,7,5,0,0,44,0,2,1,2019-2020
Carles Aleñá,19,es ESP,LM,21-223,45,33,33,0,0,0,1,1,0,0,0,0,0,28,0,1,1,2019-2020
   Ivan Rakitić,4,hr CRO,RM,31-159,45,55,53,2,2,0,0,0,0,0,0,0,0,48,0,0,1,2019-2020
Frenkie de Jong,21,nl NED,CM,22-096,90,66,64,2,2,0,0,0,0,0,0,0,0,62,0,1,1,2019-2020
Sergi Roberto,20,es ESP,"RM,LM",27-190,75,45,45,0,0,0,0,1,0,0,0,0,0,37,0,0,1,2019-2020
   Carles Pérez,27,es ESP,RW,21-181,15,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2019-2020
Jordi Alba,18,es ESP,LB,30-148,90,94,84,10,3,0,0,4,7,0,0,0,0,79,0,3,1,2019-2020
Clément Lenglet,15,fr FRA,CB,24-060,90,79,74,4,3,0,1,0,1,0,0,0,0,67,1,0,1,2019-2020
Gerard Piqué,3,es ESP,CB,32-195,90,72,70,2,2,0,0,0,0,0,0,0,0,62,0,0,1,2019-2020
Nélson Semedo,2,pt POR,RB,25-273,90,80,72,8,0,0,0,1,8,0,0,0,0,70,0,2,1,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-108,90,38,26,12,2,0,0,0,0,0,0,0,0,33,0,0,1,2019-2020
Iago Aspas,10,es ESP,FW,32-016,90,23,18,5,1,0,0,1,0,0,0,0,0,18,0,0,1,2019-2020
Gabriel Fernández,19,uy URU,FW,25-096,87,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2019-2020
   Losada,36,es ESP,FW,18-016,3,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2019-2020
Denis Suárez,6,es ESP,"AM,DM",25-223,90,67,59,6,2,0,0,6,0,4,4,0,0,57,2,1,1,2019-2020
Brais Méndez,23,es ESP,AM,22-222,90,51,47,4,2,0,1,6,0,2,1,1,0,37,0,1,1,2019-2020
Fran Beltrán,8,es ESP,DM,20-195,82,74,74,0,0,0,1,0,0,0,0,0,0,70,0,0,1,2019-2020
   Pape Cheikh Diop,24,sn SEN,DM,22-009,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2019-2020
Stanislav Lobotka,14,sk SVK,DM,24-265,74,55,54,0,0,0,1,0,0,0,0,0,0,52,1,1,1,2019-2020
   Pione Sisto,11,dk DEN,AM,24-194,16,13,12,0,0,0,0,0,0,0,0,0,0,10,1,0,1,2019-2020
Lucas Olaza,15,uy URU,LB,25-027,90,69,62,6,1,0,0,8,5,0,0,0,0,55,1,2,1,2019-2020
Néstor Araujo,4,mx MEX,CB,27-353,90,58,55,3,3,0,0,0,0,0,0,0,0,52,0,0,1,2019-2020
David Costas,3,es ESP,CB,24-144,90,59,59,0,0,0,0,0,0,0,0,0,0,51,0,0,1,2019-2020
Kevin Vázquez,20,es ESP,RB,26-147,90,63,51,12,1,0,0,5,11,0,0,0,0,50,0,3,1,2019-2020
Rubén Blanco,13,es ESP,GK,24-023,90,24,12,12,3,0,0,0,0,0,0,0,0,18,0,0,1,2019-2020
Karim Benzema,9,fr FRA,FW,31-241,80,21,20,1,0,0,0,0,0,0,0,0,0,20,0,0,1,2019-2020
   Luka Jović,18,rs SRB,FW,21-237,10,5,4,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2019-2020
Vinicius Júnior,28,br BRA,"LW,LM",19-036,68,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,1,2019-2020
   Lucas Vázquez,17,es ESP,RM,28-047,22,15,15,0,0,0,1,1,0,0,0,0,0,10,0,1,1,2019-2020
Gareth Bale,11,wls WAL,"RW,RM,LM",30-032,74,25,23,1,0,0,1,1,1,0,0,0,0,19,1,0,1,2019-2020
   Isco,22,es ESP,LM,27-118,16,18,18,0,0,0,1,0,0,0,0,0,0,17,0,1,1,2019-2020
Toni Kroos,8,de GER,"LM,CM",29-225,90,69,63,6,3,0,2,4,0,3,0,3,0,59,0,0,1,2019-2020
Casemiro,14,br BRA,CM,27-175,90,51,47,4,4,0,5,1,0,0,0,0,0,46,0,0,1,2019-2020
Luka Modrić,10,hr CRO,RM,33-342,55,36,35,1,0,0,2,2,0,1,0,1,0,30,0,0,1,2019-2020
Marcelo,12,br BRA,LB,31-097,90,61,52,9,2,0,1,1,7,0,0,0,0,49,0,0,1,2019-2020
Sergio Ramos,4,es ESP,CB,33-140,90,33,30,3,3,0,2,0,0,0,0,0,0,26,0,2,1,2019-2020
Raphaël Varane,5,fr FRA,CB,26-114,90,23,21,2,2,0,0,0,0,0,0,0,0,20,0,0,1,2019-2020
Álvaro Odriozola,19,es ESP,RB,23-246,90,44,33,11,0,0,0,1,11,0,0,0,0,39,0,2,1,2019-2020
Thibaut Courtois,13,be BEL,GK,27-098,90,25,13,12,7,0,0,0,0,0,0,0,0,15,0,0,1,2019-2020
Rodrigo,19,es ESP,FW,28-164,84,19,17,0,0,0,2,0,0,0,0,0,0,11,2,0,1,2019-2020
   Denis Cheryshev,11,ru RUS,LM,28-234,6,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2019-2020
Kévin Gameiro,9,fr FRA,FW,32-100,90,25,24,1,0,0,1,0,0,0,0,0,0,18,0,0,1,2019-2020
Gonçalo Guedes,7,pt POR,"LM,FW",22-261,90,26,24,2,0,1,1,2,0,2,1,0,1,18,0,1,1,2019-2020
Geoffrey Kondogbia,6,cf CTA,CM,26-183,90,39,37,2,2,0,1,0,0,0,0,0,0,33,0,0,1,2019-2020
Francis Coquelin,17,fr FRA,CM,28-096,89,45,44,1,1,0,1,0,0,0,0,0,0,43,0,0,1,2019-2020
Carlos Soler,8,es ESP,RM,22-227,89,31,30,1,0,0,0,1,0,1,1,0,0,23,0,0,1,2019-2020
   Ferrán Torres,20,es ESP,RM,19-169,1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2019-2020
Jaume Costa,3,es ESP,LB,31-152,81,42,36,6,1,1,1,0,5,0,0,0,0,37,0,0,1,2019-2020
   Cristiano Piccini,21,it ITA,RB,26-325,9,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2019-2020
Gabriel Paulista,5,br BRA,CB,28-264,90,46,40,6,6,0,2,0,0,0,0,0,0,43,0,0,1,2019-2020
Ezequiel Garay,24,ar ARG,CB,32-311,90,32,31,1,1,0,0,0,0,0,0,0,0,29,0,0,1,2019-2020
Daniel Wass,18,dk DEN,"RB,LB",30-078,90,46,37,9,1,0,0,3,8,0,0,0,0,36,0,0,1,2019-2020
Jasper Cillessen,13,nl NED,GK,30-117,90,25,13,12,3,0,0,0,0,0,0,0,0,14,0,0,1,2019-2020
Willian José,9,br BRA,FW,27-267,90,19,17,2,0,0,0,0,0,0,0,0,0,17,0,0,1,2019-2020
Mikel Oyarzabal,10,es ESP,LW,22-118,90,28,27,0,0,0,1,1,0,0,0,0,0,20,1,2,1,2019-2020
Adnan Januzaj,11,be BEL,RW,24-193,70,30,29,1,0,0,1,2,1,0,0,0,0,21,0,1,1,2019-2020
   Alexander Isak,19,se SWE,RW,19-330,20,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2019-2020
Martin Ødegaard,21,no NOR,LM,20-243,90,75,69,6,2,0,0,3,1,3,2,1,0,67,0,1,1,2019-2020
Asier Illarramendi,4,es ESP,CM,29-162,90,90,85,5,5,0,0,0,0,0,0,0,0,84,0,0,1,2019-2020
Mikel Merino,8,es ESP,RM,23-056,90,65,64,1,1,0,1,1,0,0,0,0,0,54,0,2,1,2019-2020
Aihen Muñoz,12,es ESP,LB,22-001,84,63,56,6,0,0,0,6,6,0,0,0,0,50,1,0,1,2019-2020
   Kévin Rodrigues,20,pt POR,LB,25-165,6,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2019-2020
Igor Zubeldia,5,es ESP,CB,22-140,90,97,97,0,0,0,0,0,0,0,0,0,0,91,0,0,1,2019-2020
Robin Le Normand,24,es ESP,CB,22-279,90,78,75,3,2,0,1,0,1,0,0,0,0,73,0,1,1,2019-2020
Joseba Zaldúa,2,es ESP,RB,27-054,81,72,59,13,1,0,1,5,12,0,0,0,0,56,0,0,1,2019-2020
   Ander Barrenetxea,22,es ESP,RB,17-233,9,8,7,1,0,0,0,1,1,0,0,0,0,6,0,1,1,2019-2020
Miguel Ángel Moyá,13,es ESP,GK,35-137,90,34,26,8,2,0,0,0,0,0,0,0,0,34,0,0,1,2019-2020
Ante Budimir,22,hr CRO,FW,28-026,64,16,15,1,0,0,0,1,0,0,0,0,0,6,0,0,1,2019-2020
   Álex Alegría,10,es ESP,FW,26-311,26,11,10,0,0,0,0,0,0,0,0,0,0,7,1,0,1,2019-2020
Lago Junior,11,ci CIV,LM,28-229,90,17,17,0,0,0,1,2,0,0,0,0,0,12,0,2,1,2019-2020
Salva Sevilla,8,es ESP,CM,35-152,90,48,32,16,6,0,0,7,0,9,4,3,0,35,0,2,1,2019-2020
Aleix Febas,23,es ESP,CM,23-196,73,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,1,2019-2020
   Aleksandar Trajkovski,17,mk MKD,CM,26-346,17,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2019-2020
Dani Rodríguez,14,es ESP,RM,31-072,90,23,22,0,0,0,0,2,0,0,0,0,0,18,1,0,1,2019-2020
Iddrisu Baba,12,gh GHA,DM,23-207,90,40,40,0,0,0,0,0,0,0,0,0,0,29,0,0,1,2019-2020
