player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Unai Simón,es ESP,22-066,90,2,0,2,100.0,0.4,9,17,52.9,9,1,55.6,39.8,15,80.0,54.7,10,0,0.0,2,16.8,1,2019-2020
Marc-André ter Stegen,de GER,27-108,90,5,1,4,80.0,0.7,4,8,50.0,28,9,21.4,27.4,10,20.0,31.7,9,1,11.1,1,18.0,1,2019-2020
Rubén Blanco,es ESP,24-023,90,11,3,8,72.7,3.1,5,11,45.5,15,4,33.3,33.9,9,66.7,41.2,9,1,11.1,0,6.0,1,2019-2020
Thibaut Courtois,be BEL,27-098,90,3,1,2,66.7,1.7,2,12,16.7,20,0,50.0,43.7,5,40.0,46.2,21,0,0.0,0,,1,2019-2020
Jasper Cillessen,nl NED,30-117,90,3,1,2,100.0,1.1,3,14,21.4,16,4,56.3,41.8,9,55.6,48.9,14,0,0.0,0,,1,2019-2020
Miguel Ángel Moyá,es ESP,35-137,90,6,1,5,83.3,1.3,4,4,100.0,28,5,14.3,24.2,6,0.0,24.3,5,1,20.0,8,26.5,1,2019-2020
Manolo Reina,es ESP,34-138,90,5,1,4,80.0,1.0,9,25,36.0,24,3,66.7,42.0,10,90.0,62.5,15,1,6.7,2,20.0,1,2019-2020
Marko Dmitrović,rs SRB,27-205,90,2,2,1,0.0,0.6,10,23,43.5,19,1,68.4,46.9,11,90.9,70.2,12,0,0.0,3,23.0,1,2019-2020
Iván Cuéllar,es ESP,35-082,90,2,1,1,50.0,0.3,5,15,33.3,26,6,42.3,37.6,5,80.0,62.0,7,1,14.3,2,17.5,1,2019-2020
Rubén,es ESP,35-056,90,2,0,2,100.0,0.9,9,26,34.6,19,4,89.5,59.4,10,90.0,69.2,17,2,11.8,1,12.7,1,2019-2020
Andrés Fernández,es ESP,32-243,90,7,4,4,57.1,2.6,5,10,50.0,27,4,22.2,25.9,11,36.4,32.4,21,0,0.0,0,5.0,1,2019-2020
Rui Silva,pt POR,25-191,90,7,4,3,57.1,3.1,13,26,50.0,30,1,73.3,44.7,7,57.1,41.6,6,1,16.7,1,15.3,1,2019-2020
Fernando Pacheco,es ESP,27-092,90,4,0,4,100.0,0.7,13,23,56.5,13,3,76.9,46.8,13,100.0,66.7,23,0,0.0,0,5.5,1,2019-2020
Aitor Fernández,es ESP,28-107,90,2,1,1,50.0,0.4,1,3,33.3,20,8,10.0,25.5,8,12.5,27.5,8,1,12.5,1,10.7,1,2019-2020
Diego López,es ESP,37-288,90,4,2,2,50.0,1.6,3,9,33.3,22,5,18.2,26.1,9,55.6,43.7,7,0,0.0,0,7.0,1,2019-2020
Tomáš Vaclík,cz CZE,30-142,90,2,0,2,100.0,0.4,7,14,50.0,25,2,44.0,39.0,6,50.0,45.2,12,0,0.0,0,5.0,1,2019-2020
Joel Robles,es ESP,29-062,7,,,,,0.0,,1,,1,,100.0,41.0,1,0.0,33.0,1,,,,,1,2019-2020
Daniel Martín,es ESP,21-041,81,3,2,1,33.3,1.1,1,9,11.1,17,5,29.4,32.8,7,57.1,46.9,12,0,0.0,0,10.0,1,2019-2020
Jordi Masip,es ESP,30-227,90,4,1,3,75.0,1.5,1,5,20.0,15,7,33.3,34.8,4,0.0,27.8,11,2,18.2,2,14.4,1,2019-2020
Jan Oblak,si SVN,26-223,90,0,0,0,,0.0,7,14,50.0,14,2,57.1,41.6,9,66.7,46.8,17,1,5.9,0,10.0,1,2019-2020
David Soria,es ESP,26-136,90,5,1,3,80.0,3.6,8,20,40.0,28,5,67.9,46.7,1,100.0,57.0,5,0,0.0,1,18.8,1,2019-2020
