player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Marc-André ter Stegen,de GER,27-182,90,1,1,0,0.0,0.9,4,6,66.7,21,1,19.0,29.3,5,40.0,32.4,7,1,14.3,0,8.0,11,2019-2020
Jordi Masip,es ESP,30-299,90,9,5,4,44.4,3.9,2,14,14.3,21,7,28.6,32.6,8,100.0,71.3,6,0,0.0,1,20.0,11,2019-2020
Jasper Cillessen,nl NED,30-191,90,1,1,0,0.0,0.2,3,11,27.3,21,4,38.1,32.0,7,42.9,35.1,10,0,0.0,0,,11,2019-2020
Tomáš Vaclík,cz CZE,30-215,90,3,1,2,66.7,0.8,4,17,23.5,23,5,52.2,43.3,7,71.4,54.6,19,0,0.0,0,4.0,11,2019-2020
Álex Remiro,es ESP,24-220,90,4,2,2,50.0,1.1,4,13,30.8,30,5,33.3,33.3,7,42.9,40.9,10,0,0.0,4,21.2,11,2019-2020
Aitor Fernández,es ESP,28-180,90,5,1,4,80.0,0.5,5,22,22.7,20,5,60.0,46.5,14,71.4,47.1,25,1,4.0,0,7.0,11,2019-2020
Unai Simón,es ESP,22-141,90,5,0,5,100.0,1.4,14,28,50.0,33,9,66.7,43.9,6,100.0,64.5,15,1,6.7,0,14.3,11,2019-2020
Diego López,es ESP,37-361,90,5,3,3,40.0,1.1,6,25,24.0,34,5,61.8,41.5,7,57.1,38.1,11,1,9.1,1,21.7,11,2019-2020
Joel Robles,es ESP,29-135,90,5,1,4,100.0,1.7,3,15,20.0,21,6,42.9,34.0,9,66.7,53.7,21,0,0.0,0,,11,2019-2020
Rubén Blanco,es ESP,24-097,90,7,2,5,71.4,2.3,4,13,30.8,15,2,53.3,41.8,7,71.4,45.1,10,0,0.0,0,,11,2019-2020
Thibaut Courtois,be BEL,27-172,90,3,0,3,100.0,0.6,1,2,50.0,19,9,10.5,25.1,10,0.0,17.4,15,1,6.7,0,5.0,11,2019-2020
Juan Soriano,es ESP,22-068,90,11,5,6,72.7,5.9,7,21,33.3,20,5,60.0,42.9,9,100.0,68.0,16,1,6.3,0,12.0,11,2019-2020
Manolo Reina,es ESP,34-213,90,4,2,2,50.0,1.3,3,16,18.8,26,9,38.5,38.5,9,66.7,56.3,21,0,0.0,0,,11,2019-2020
Rubén,es ESP,35-131,90,3,2,1,100.0,2.3,5,17,29.4,18,7,38.9,38.7,12,83.3,56.9,19,0,0.0,0,1.0,11,2019-2020
Marko Dmitrović,rs SRB,27-280,90,2,1,1,50.0,0.9,7,26,26.9,31,4,67.7,49.2,6,83.3,63.0,7,1,14.3,3,16.4,11,2019-2020
Sergio Asenjo,es ESP,30-125,90,8,2,6,75.0,2.7,2,8,25.0,25,6,16.0,24.6,13,30.8,31.8,20,1,5.0,0,8.0,11,2019-2020
David Soria,es ESP,26-210,90,2,1,1,50.0,1.0,8,29,27.6,23,3,87.0,55.9,9,100.0,62.7,16,0,0.0,2,26.0,11,2019-2020
Rui Silva,pt POR,25-266,90,3,3,0,0.0,1.0,8,25,32.0,35,4,60.0,44.2,8,50.0,42.9,13,1,7.7,4,16.4,11,2019-2020
Diego López,es ESP,37-364,90,4,2,2,75.0,2.1,14,28,50.0,29,1,72.4,48.8,12,58.3,47.3,21,0,0.0,4,21.3,12,2019-2020
Jasper Cillessen,nl NED,30-194,90,4,1,3,100.0,1.5,4,21,19.0,34,12,41.2,36.7,9,77.8,55.0,18,1,5.6,1,15.0,12,2019-2020
