player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Yoel,es ESP,31-323,90,8,1,6,87.5,2.2,11,22,50.0,22,3,63.6,45.6,8,100.0,66.5,22,1,4.5,0,3.0,37,2019-2020
Churripi,es ESP,26-074,64,6,2,4,66.7,2.6,7,20,35.0,27,5,66.7,44.2,3,66.7,53.7,14,,,,8.0,37,2019-2020
Samu Pérez,es ESP,23-081,26,1,1,0,100.0,1.0,1,6,16.7,2,0,50.0,49.5,5,100.0,65.2,1,0,0.0,0,,37,2019-2020
Iván Villar,es ESP,23-007,90,4,3,1,25.0,2.5,4,10,40.0,20,3,35.0,28.7,3,100.0,58.7,8,0,0.0,3,17.0,37,2019-2020
Koke Vegas,es ESP,24-293,90,6,2,4,66.7,1.2,4,16,25.0,27,6,44.4,39.2,7,57.1,43.0,23,0,0.0,4,19.7,37,2019-2020
Jasper Cillessen,nl NED,31-085,90,6,0,6,100.0,1.0,7,22,31.8,23,6,43.5,36.0,15,80.0,57.3,18,0,0.0,0,18.0,37,2019-2020
Diego López,es ESP,38-256,90,3,1,2,66.7,1.0,1,8,12.5,20,6,30.0,29.5,4,50.0,45.5,8,0,0.0,2,13.2,37,2019-2020
Miguel Ángel Moyá,es ESP,36-105,90,3,0,3,100.0,0.6,10,17,58.8,31,3,38.7,38.1,5,100.0,51.0,7,1,14.3,0,14.7,37,2019-2020
Yassine Bounou,ma MAR,29-102,90,4,0,4,100.0,0.7,12,22,54.5,33,6,54.5,39.7,4,100.0,67.5,14,0,0.0,0,8.0,37,2019-2020
Manolo Reina,es ESP,35-106,90,6,2,4,66.7,1.0,7,15,46.7,27,9,40.7,34.5,7,57.1,44.6,17,1,5.9,1,18.7,37,2019-2020
Rui Silva,pt POR,26-160,90,5,1,4,80.0,1.1,8,18,44.4,22,4,45.5,41.5,8,100.0,67.0,22,2,9.1,1,13.8,37,2019-2020
David Soria,es ESP,27-103,90,3,2,1,33.3,0.8,8,21,38.1,20,2,75.0,52.2,7,85.7,59.9,5,0,0.0,1,11.8,37,2019-2020
Jan Oblak,si SVN,27-191,90,5,0,5,100.0,1.1,5,16,31.3,27,8,37.0,39.5,9,66.7,46.6,15,0,0.0,0,12.0,37,2019-2020
Unai Simón,es ESP,23-035,21,,,,,0.0,2,4,50.0,10,1,40.0,34.8,2,0.0,23.0,,,,1,27.0,37,2019-2020
Iago Herrerín,es ESP,32-173,65,4,2,2,50.0,1.7,5,13,38.5,19,7,31.6,32.9,8,87.5,61.6,11,0,0.0,0,18.0,37,2019-2020
Iván Cuéllar,es ESP,36-050,90,3,0,3,100.0,0.2,7,20,35.0,20,2,65.0,45.3,7,100.0,67.3,13,0,0.0,0,14.0,37,2019-2020
Marc-André ter Stegen,de GER,28-077,90,5,2,3,60.0,1.8,2,3,66.7,26,5,11.5,25.2,5,0.0,29.0,6,0,0.0,1,20.5,37,2019-2020
Sergio Herrera,es ESP,27-041,90,2,1,1,50.0,0.6,8,28,28.6,17,1,82.4,54.8,15,93.3,61.6,14,0,0.0,0,9.3,37,2019-2020
Thibaut Courtois,be BEL,28-066,90,4,1,3,75.0,1.2,6,16,37.5,38,9,28.9,32.7,8,62.5,49.3,9,1,11.1,0,7.7,37,2019-2020
Sergio Asenjo,es ESP,31-018,90,7,2,5,85.7,2.0,4,13,30.8,28,7,32.1,33.5,5,80.0,58.8,12,0,0.0,1,24.0,37,2019-2020
Daniel Martín,es ESP,22-008,90,4,2,2,50.0,1.8,3,4,75.0,25,6,12.0,25.2,4,25.0,29.5,11,1,9.1,1,9.3,37,2019-2020
Roberto,es ESP,34-157,90,7,1,6,85.7,2.4,11,24,45.8,19,2,89.5,60.6,9,77.8,58.4,17,0,0.0,0,,37,2019-2020
