player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Sergio Asenjo,es ESP,30-091,90,6,1,5,83.3,1.6,2,6,33.3,16,3,18.8,28.6,10,30.0,29.4,12,0,0.0,0,5.5,7,2019-2020
Joel Robles,es ESP,29-102,90,10,5,5,60.0,5.5,3,8,37.5,22,2,31.8,33.5,5,20.0,34.0,12,0,0.0,3,31.3,7,2019-2020
Unai Simón,es ESP,22-109,90,5,1,4,80.0,1.7,2,10,20.0,25,3,36.0,36.8,2,50.0,57.5,10,2,20.0,0,10.4,7,2019-2020
Jasper Cillessen,nl NED,30-159,90,3,0,3,100.0,0.3,5,22,22.7,24,7,50.0,43.5,11,90.9,60.9,34,1,2.9,0,5.0,7,2019-2020
David Soria,es ESP,26-177,90,6,2,4,66.7,1.5,5,26,19.2,24,0,83.3,56.1,6,100.0,70.8,5,0,0.0,4,19.2,7,2019-2020
Marc-André ter Stegen,de GER,27-151,90,1,0,1,100.0,0.4,8,12,66.7,26,5,23.1,29.8,12,50.0,37.1,11,0,0.0,2,21.0,7,2019-2020
Rui Silva,pt POR,25-233,90,6,0,6,100.0,1.6,8,29,27.6,22,1,77.3,50.6,13,92.3,61.8,9,0,0.0,3,21.5,7,2019-2020
Juan Soriano,es ESP,22-036,90,4,1,3,75.0,0.5,3,15,20.0,23,6,47.8,42.1,8,50.0,47.5,18,1,5.6,0,15.5,7,2019-2020
Jan Oblak,si SVN,26-264,90,3,0,3,100.0,1.3,3,14,21.4,17,5,47.1,35.4,10,60.0,43.1,22,1,4.5,0,12.0,7,2019-2020
Thibaut Courtois,be BEL,27-140,90,1,0,1,100.0,0.2,0,4,0.0,20,6,10.0,29.3,11,18.2,33.5,15,1,6.7,0,2.5,7,2019-2020
Diego López,es ESP,37-330,90,6,2,4,83.3,2.0,6,12,50.0,21,4,38.1,35.2,6,66.7,47.8,8,0,0.0,2,21.7,7,2019-2020
Jordi Masip,es ESP,30-269,90,2,0,2,100.0,0.2,9,20,45.0,18,4,50.0,38.0,11,100.0,61.7,16,1,6.3,0,6.0,7,2019-2020
Marko Dmitrović,rs SRB,27-248,90,2,0,1,100.0,1.0,5,22,22.7,23,3,78.3,56.7,4,100.0,72.5,10,1,10.0,2,17.0,7,2019-2020
Rubén Blanco,es ESP,24-066,90,3,2,1,33.3,1.2,3,14,21.4,28,3,32.1,33.0,11,45.5,44.2,14,1,7.1,0,3.3,7,2019-2020
Antonio Sivera,es ESP,23-049,90,1,0,1,100.0,0.0,5,14,35.7,18,3,61.1,41.0,4,75.0,51.8,7,1,14.3,1,12.5,7,2019-2020
Manolo Reina,es ESP,34-181,90,6,2,4,83.3,2.5,9,29,31.0,45,5,53.3,42.2,5,100.0,66.2,13,0,0.0,4,21.3,7,2019-2020
Aitor Fernández,es ESP,28-149,90,3,1,2,66.7,0.9,7,21,33.3,14,3,64.3,45.4,14,85.7,53.6,28,0,0.0,1,22.5,7,2019-2020
Rubén,es ESP,35-099,90,5,1,4,80.0,1.7,4,21,19.0,26,5,57.7,44.5,8,75.0,55.8,20,0,0.0,1,8.3,7,2019-2020
Tomáš Vaclík,cz CZE,30-184,90,2,2,0,0.0,1.2,4,12,33.3,15,1,46.7,39.0,7,71.4,60.0,4,0,0.0,1,30.0,7,2019-2020
Miguel Ángel Moyá,es ESP,35-180,90,8,3,5,62.5,2.2,11,18,61.1,35,7,22.9,27.5,15,66.7,43.3,20,2,10.0,0,5.1,7,2019-2020
