player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Jaume Doménech,es ESP,29-101,90,3,2,1,33.3,1.5,5,10,50.0,25,6,32.0,29.9,5,40.0,38.4,10,1,10.0,0,9.0,24,2019-2020
Jan Oblak,si SVN,27-038,90,3,2,1,33.3,1.0,11,20,55.0,18,0,72.2,47.4,9,77.8,53.4,21,0,0.0,0,7.5,24,2019-2020
Manolo Reina,es ESP,34-320,90,0,0,0,,0.0,7,28,25.0,25,4,76.0,47.1,12,75.0,57.7,10,0,0.0,0,15.0,24,2019-2020
Fernando Pacheco,es ESP,27-273,90,6,1,4,83.3,3.0,9,21,42.9,24,3,45.8,39.8,10,100.0,57.5,14,0,0.0,0,7.0,24,2019-2020
Marc-André ter Stegen,de GER,27-291,90,2,1,1,50.0,0.9,3,12,25.0,65,2,16.9,27.4,6,16.7,22.2,10,0,0.0,3,20.6,24,2019-2020
David Soria,es ESP,26-317,90,5,2,3,60.0,1.6,8,18,44.4,19,2,73.7,47.7,6,66.7,47.5,2,0,0.0,2,21.0,24,2019-2020
Sergio Asenjo,es ESP,30-232,90,2,1,1,50.0,1.2,4,18,22.2,20,2,60.0,41.0,7,85.7,58.4,19,1,5.3,0,10.5,24,2019-2020
Aitor Fernández,es ESP,28-288,90,6,2,4,66.7,0.8,5,7,71.4,18,5,27.8,28.2,7,28.6,36.6,14,2,14.3,4,16.4,24,2019-2020
Rui Silva,pt POR,26-008,90,4,1,3,75.0,1.8,8,20,40.0,26,3,69.2,46.3,4,50.0,41.8,14,2,14.3,1,9.8,24,2019-2020
Jordi Masip,es ESP,31-043,90,4,2,2,50.0,2.0,8,23,34.8,20,0,80.0,44.3,7,100.0,63.4,21,0,0.0,1,12.5,24,2019-2020
Tomáš Vaclík,cz CZE,30-324,90,3,2,1,33.3,0.3,1,2,50.0,14,4,7.1,21.7,1,100.0,50.0,10,2,20.0,1,11.8,24,2019-2020
Diego López,es ESP,38-105,90,6,2,4,66.7,2.8,8,28,28.6,23,4,78.3,51.7,10,100.0,64.4,21,0,0.0,0,,24,2019-2020
Juan Soriano,es ESP,22-177,90,2,0,2,100.0,0.7,4,22,18.2,22,3,77.3,51.1,5,100.0,68.8,4,0,0.0,1,13.8,24,2019-2020
Joel Robles,es ESP,29-244,90,1,0,1,100.0,0.0,4,19,21.1,31,6,38.7,33.4,15,46.7,37.3,11,0,0.0,3,18.6,24,2019-2020
Unai Simón,es ESP,22-250,90,2,1,1,50.0,0.6,5,16,31.3,30,5,43.3,36.1,3,100.0,72.7,7,0,0.0,1,19.5,24,2019-2020
Sergio Herrera,es ESP,26-256,90,2,0,2,100.0,0.3,8,30,26.7,26,1,73.1,51.2,11,100.0,64.5,26,1,3.8,0,11.3,24,2019-2020
Thibaut Courtois,be BEL,27-281,90,3,2,1,33.3,2.1,1,5,20.0,11,3,45.5,40.7,2,0.0,24.0,7,0,0.0,0,15.0,24,2019-2020
Rubén Blanco,es ESP,24-206,90,4,2,2,75.0,1.4,4,23,17.4,21,3,57.1,42.6,16,68.8,50.1,23,0,0.0,0,8.0,24,2019-2020
Joel Robles,es ESP,29-249,90,4,3,1,25.0,1.6,4,4,100.0,20,4,20.0,23.5,6,0.0,21.7,6,0,0.0,2,14.8,25,2019-2020
Manolo Reina,es ESP,34-326,90,6,3,3,83.3,3.1,8,25,32.0,18,2,72.2,53.1,13,92.3,63.1,20,2,10.0,0,6.5,25,2019-2020
