player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Álvaro Morata,9,es ESP,FW,27-254,61,10,14,71.4,172,20,5,7,71.4,2,3,66.7,2,2,100.0,0,0.2,0.1,2,0,1,0,1,34,2019-2020
   Diego Costa,19,es ESP,FW,31-270,29,6,8,75.0,103,17,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,34,2019-2020
João Félix,7,pt POR,FW,20-236,53,11,14,78.6,170,23,6,8,75.0,5,6,83.3,0,0,,0,0.1,0.0,1,1,0,0,2,34,2019-2020
   Ángel Correa,10,ar ARG,"RM,FW",25-116,37,13,14,92.9,156,65,8,9,88.9,3,3,100.0,0,0,,0,0.1,0.2,2,0,3,2,1,34,2019-2020
Yannick Carrasco,21,be BEL,LM,26-303,54,17,23,73.9,238,79,11,14,78.6,4,4,100.0,1,3,33.3,0,0.4,0.0,2,2,2,0,5,34,2019-2020
   Vitolo,20,es ESP,"FW,LM",30-244,36,19,23,82.6,283,99,12,13,92.3,4,4,100.0,2,3,66.7,0,0.0,0.0,0,2,1,0,3,34,2019-2020
Saúl Ñíguez,8,es ESP,CM,25-225,79,41,46,89.1,634,336,19,20,95.0,21,25,84.0,0,0,,0,0.0,0.0,0,7,2,0,9,34,2019-2020
   Thomas Partey,5,gh GHA,CM,27-020,11,7,8,87.5,88,25,5,5,100.0,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,34,2019-2020
Koke,6,es ESP,"CM,LM",28-177,90,54,61,88.5,814,189,27,28,96.4,23,26,88.5,2,4,50.0,0,0.0,0.1,0,2,3,0,7,34,2019-2020
Marcos Llorente,14,es ESP,"RM,CM",25-155,90,31,34,91.2,434,83,16,17,94.1,12,12,100.0,1,2,50.0,1,1.0,0.9,3,1,2,0,3,34,2019-2020
Manu Sánchez,35,es ESP,LB,19-314,61,27,35,77.1,458,65,11,13,84.6,14,20,70.0,2,2,100.0,0,0.1,0.1,1,0,1,1,2,34,2019-2020
   Renan Lodi,12,br BRA,LB,22-086,29,9,13,69.2,109,72,8,8,100.0,0,0,,1,4,25.0,0,0.0,0.0,0,0,0,0,0,34,2019-2020
José María Giménez,2,uy URU,CB,25-165,90,51,60,85.0,1084,404,12,13,92.3,31,32,96.9,7,14,50.0,0,0.0,0.0,0,3,0,0,5,34,2019-2020
Stefan Savić,15,me MNE,CB,29-177,90,53,60,88.3,1081,475,13,13,100.0,32,35,91.4,6,9,66.7,0,0.0,0.0,0,2,0,0,1,34,2019-2020
