Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Sergio Herrera,es ESP,26-233,90,2,0,2,100.0,0.6,4,14,28.6,24,7,41.7,36.6,7,57.1,47.7,13,1,7.7,0,11.0,21,2019-2020
Aitor Fernández,es ESP,28-266,90,3,2,1,66.7,1.2,3,19,15.8,20,3,70.0,44.4,10,50.0,38.8,17,0,0.0,2,20.7,21,2019-2020
Diego López,es ESP,38-083,90,3,1,2,66.7,0.5,8,22,36.4,21,3,66.7,42.7,11,72.7,52.1,18,2,11.1,3,20.8,21,2019-2020
Iago Herrerín,es ESP,32-000,90,3,1,2,66.7,0.6,14,38,36.8,36,4,86.1,51.3,7,100.0,58.1,12,3,25.0,0,7.7,21,2019-2020
Jaume Doménech,es ESP,29-081,90,5,0,5,100.0,0.7,6,15,40.0,17,4,52.9,37.7,6,100.0,63.5,6,0,0.0,0,17.0,21,2019-2020
Marc-André ter Stegen,de GER,27-270,90,6,2,3,66.7,1.8,1,3,33.3,21,4,14.3,25.8,2,0.0,22.5,11,1,9.1,0,14.0,21,2019-2020
Fernando Pacheco,es ESP,27-252,90,6,2,4,66.7,1.1,6,13,46.2,21,5,38.1,33.8,10,50.0,35.6,14,0,0.0,1,10.0,21,2019-2020
Sergio Asenjo,es ESP,30-211,90,5,1,4,80.0,1.0,5,20,25.0,22,2,54.5,42.3,9,88.9,56.8,15,0,0.0,2,17.3,21,2019-2020
Tomáš Vaclík,cz CZE,30-302,90,1,0,1,100.0,0.1,3,12,25.0,19,1,52.6,42.7,3,66.7,52.3,20,1,5.0,1,11.3,21,2019-2020
Rui Silva,pt POR,25-352,90,4,2,2,50.0,1.1,11,23,47.8,30,1,53.3,36.6,11,63.6,49.4,12,0,0.0,2,20.5,21,2019-2020
Jan Oblak,si SVN,27-019,90,4,0,4,100.0,0.7,13,20,65.0,18,3,66.7,40.5,8,100.0,58.0,17,0,0.0,0,14.0,21,2019-2020
Iván Cuéllar,es ESP,35-244,89,3,,3,,0.5,7,27,25.9,26,7,57.7,41.8,12,100.0,63.3,18,1,5.6,2,19.5,21,2019-2020
Jonathan Silva,ar ARG,25-211,1,0,0,0,,0.0,0,1,0.0,0,0,,,1,100.0,60.0,0,0,,0,,21,2019-2020
Rubén Blanco,es ESP,24-185,90,3,0,3,100.0,0.2,5,15,33.3,25,3,52.0,36.9,7,28.6,29.1,13,0,0.0,0,11.0,21,2019-2020
Marko Dmitrović,rs SRB,28-002,90,4,0,4,100.0,0.9,7,29,24.1,21,1,90.5,60.8,10,100.0,73.2,22,1,4.5,2,15.3,21,2019-2020
David Soria,es ESP,26-297,90,1,0,1,100.0,0.4,12,25,48.0,18,2,83.3,55.3,10,100.0,60.2,9,2,22.2,2,18.8,21,2019-2020
Joel Robles,es ESP,29-223,90,3,1,2,100.0,1.5,5,16,31.3,28,2,50.0,40.2,4,50.0,46.3,16,0,0.0,0,11.0,21,2019-2020
Álex Remiro,es ESP,24-308,90,4,0,4,100.0,0.5,5,7,71.4,25,2,12.0,25.7,5,80.0,52.6,11,0,0.0,1,12.5,21,2019-2020
Manolo Reina,es ESP,34-300,90,6,3,3,50.0,2.7,8,21,38.1,25,3,64.0,41.5,9,55.6,49.7,27,0,0.0,0,6.0,21,2019-2020
Jordi Masip,es ESP,31-023,90,3,1,2,66.7,0.7,8,21,38.1,22,4,59.1,39.3,9,88.9,51.0,19,0,0.0,1,22.0,21,2019-2020
Thibaut Courtois,be BEL,27-260,90,0,0,0,,0.0,1,10,10.0,26,6,34.6,35.0,3,33.3,33.3,16,1,6.3,0,7.6,21,2019-2020
