Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Sergi Enrich,9,es ESP,FW,29-297,72,1,0,0,0,4,1,1,0,32,1,0,0,0.6,0.6,0.0,1,0,15,20,75.0,2,15,0,0,0,18,2019-2020
   Quique,7,es ESP,FW,29-218,18,0,1,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.1,3,2,7,9,77.8,2,5,1,1,1,18,2019-2020
Kiké,17,es ESP,FW,30-025,36,1,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,3,0,9,13,69.2,0,10,0,0,0,18,2019-2020
   Charles,19,br BRA,FW,35-260,54,0,0,0,0,0,0,0,0,37,1,2,0,0.0,0.0,0.1,2,0,17,24,70.8,2,13,1,1,0,18,2019-2020
Takashi Inui,22,jp JPN,LM,31-201,90,1,0,0,0,4,1,0,0,43,1,1,3,0.5,0.5,0.3,4,0,16,24,66.7,1,27,2,6,3,18,2019-2020
Edu Expósito,10,es ESP,CM,23-141,90,0,1,0,0,0,0,0,0,44,2,1,3,0.0,0.0,0.1,1,1,24,29,82.8,2,20,0,0,0,18,2019-2020
Gonzalo Escalante,5,ar ARG,CM,26-268,83,0,1,0,0,3,1,1,0,51,2,1,1,0.2,0.2,0.8,8,1,29,41,70.7,3,20,4,3,3,18,2019-2020
   Papakouli Diop,8,sn SEN,CM,33-276,7,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,2,0,4,4,100.0,0,4,0,0,0,18,2019-2020
Pedro León,21,es ESP,RM,33-026,90,0,0,0,0,2,2,1,0,47,0,2,1,0.1,0.1,0.2,6,1,26,37,70.3,0,25,1,2,2,18,2019-2020
José Ángel,15,es ESP,LB,30-106,90,0,0,0,0,2,0,0,0,64,1,2,1,0.1,0.1,0.1,4,1,31,52,59.6,7,22,1,3,3,18,2019-2020
Pedro Bigas,3,es ESP,CB,29-096,90,0,0,0,0,0,0,0,0,44,0,2,1,0.0,0.0,0.0,1,0,18,28,64.3,1,11,0,0,0,18,2019-2020
Paulo Oliveira,12,pt POR,CB,27-346,90,0,0,0,0,2,0,0,0,45,1,3,1,0.3,0.3,0.0,0,0,13,26,50.0,0,11,0,0,0,18,2019-2020
Álvaro Tejero,24,es ESP,RB,23-153,90,0,0,0,0,1,0,0,0,51,1,0,0,0.0,0.0,0.0,2,0,24,43,55.8,2,26,3,1,0,18,2019-2020
Marko Dmitrović,1,rs SRB,GK,27-330,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,12,30,40.0,0,11,0,0,0,18,2019-2020
Sergi Enrich,9,es ESP,FW,29-297,72,1,0,0,0,4,1,1,0,32,1,0,0,0.6,0.6,0.0,1,0,15,20,75.0,2,15,0,0,0,18,2019-2020
   Quique,7,es ESP,FW,29-218,18,0,1,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.1,3,2,7,9,77.8,2,5,1,1,1,18,2019-2020
Kiké,17,es ESP,FW,30-025,36,1,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,3,0,9,13,69.2,0,10,0,0,0,18,2019-2020
   Charles,19,br BRA,FW,35-260,54,0,0,0,0,0,0,0,0,37,1,2,0,0.0,0.0,0.1,2,0,17,24,70.8,2,13,1,1,0,18,2019-2020
Takashi Inui,22,jp JPN,LM,31-201,90,1,0,0,0,4,1,0,0,43,1,1,3,0.5,0.5,0.3,4,0,16,24,66.7,1,27,2,6,3,18,2019-2020
Edu Expósito,10,es ESP,CM,23-141,90,0,1,0,0,0,0,0,0,44,2,1,3,0.0,0.0,0.1,1,1,24,29,82.8,2,20,0,0,0,18,2019-2020
Gonzalo Escalante,5,ar ARG,CM,26-268,83,0,1,0,0,3,1,1,0,51,2,1,1,0.2,0.2,0.8,8,1,29,41,70.7,3,20,4,3,3,18,2019-2020
   Papakouli Diop,8,sn SEN,CM,33-276,7,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,2,0,4,4,100.0,0,4,0,0,0,18,2019-2020
Pedro León,21,es ESP,RM,33-026,90,0,0,0,0,2,2,1,0,47,0,2,1,0.1,0.1,0.2,6,1,26,37,70.3,0,25,1,2,2,18,2019-2020
José Ángel,15,es ESP,LB,30-106,90,0,0,0,0,2,0,0,0,64,1,2,1,0.1,0.1,0.1,4,1,31,52,59.6,7,22,1,3,3,18,2019-2020
Pedro Bigas,3,es ESP,CB,29-096,90,0,0,0,0,0,0,0,0,44,0,2,1,0.0,0.0,0.0,1,0,18,28,64.3,1,11,0,0,0,18,2019-2020
Paulo Oliveira,12,pt POR,CB,27-346,90,0,0,0,0,2,0,0,0,45,1,3,1,0.3,0.3,0.0,0,0,13,26,50.0,0,11,0,0,0,18,2019-2020
Álvaro Tejero,24,es ESP,RB,23-153,90,0,0,0,0,1,0,0,0,51,1,0,0,0.0,0.0,0.0,2,0,24,43,55.8,2,26,3,1,0,18,2019-2020
Marko Dmitrović,1,rs SRB,GK,27-330,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,12,30,40.0,0,11,0,0,0,18,2019-2020
Ante Budimir,22,hr CRO,FW,28-152,68,0,0,0,0,1,0,1,0,20,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,10,1,1,0,18,2019-2020
   Pablo Chavarría,19,ar ARG,FW,31-353,22,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,18,2019-2020
Dani Rodríguez,14,es ESP,"FW,CM",31-198,90,0,0,0,0,0,0,0,0,42,0,4,0,0.0,0.0,0.0,1,0,25,32,78.1,3,24,1,3,1,18,2019-2020
Lago Junior,11,ci CIV,LM,28-355,90,0,0,0,0,3,1,0,0,36,1,1,1,0.6,0.6,0.0,0,0,19,26,73.1,2,28,2,2,1,18,2019-2020
Salva Sevilla,8,es ESP,CM,35-278,56,0,0,0,0,2,0,0,0,37,1,1,1,0.1,0.1,0.0,3,0,24,32,75.0,7,19,1,0,0,18,2019-2020
   Cucho,29,co COL,FW,20-245,34,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,8,10,80.0,2,9,0,1,0,18,2019-2020
Iddrisu Baba,12,gh GHA,CM,23-333,77,0,0,0,0,0,0,1,0,31,4,3,0,0.0,0.0,0.0,0,0,18,22,81.8,3,15,0,0,0,18,2019-2020
   Aleix Febas,23,es ESP,CM,23-322,13,0,0,0,0,0,0,0,0,15,2,1,0,0.0,0.0,0.0,0,0,9,11,81.8,2,9,0,0,0,18,2019-2020
Takefusa Kubo,26,jp JPN,RM,18-200,90,0,0,0,0,1,0,0,0,52,1,3,0,0.0,0.0,0.6,4,0,20,36,55.6,3,37,4,8,3,18,2019-2020
Lumor Agbenyenu,3,gh GHA,LB,23-128,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.0,2,0,29,42,69.0,7,29,3,0,0,18,2019-2020
Martin Valjent,24,sk SVK,CB,24-010,90,0,0,0,0,0,0,1,0,33,1,2,0,0.0,0.0,0.0,1,0,20,26,76.9,4,21,1,1,1,18,2019-2020
Aleksandar Sedlar,20,rs SRB,CB,28-008,90,0,0,0,0,0,0,1,0,45,0,1,1,0.0,0.0,0.0,0,0,30,36,83.3,1,25,0,0,0,18,2019-2020
Fran Gámez,15,es ESP,RB,28-147,90,0,0,0,0,1,0,1,0,58,5,4,2,0.1,0.1,0.0,0,0,21,41,51.2,2,22,1,4,4,18,2019-2020
Manolo Reina,1,es ESP,GK,34-264,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,18,0,0,0,18,2019-2020
Ante Budimir,22,hr CRO,FW,28-152,68,0,0,0,0,1,0,1,0,20,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,10,1,1,0,18,2019-2020
   Pablo Chavarría,19,ar ARG,FW,31-353,22,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,18,2019-2020
Dani Rodríguez,14,es ESP,"FW,CM",31-198,90,0,0,0,0,0,0,0,0,42,0,4,0,0.0,0.0,0.0,1,0,25,32,78.1,3,24,1,3,1,18,2019-2020
Lago Junior,11,ci CIV,LM,28-355,90,0,0,0,0,3,1,0,0,36,1,1,1,0.6,0.6,0.0,0,0,19,26,73.1,2,28,2,2,1,18,2019-2020
Salva Sevilla,8,es ESP,CM,35-278,56,0,0,0,0,2,0,0,0,37,1,1,1,0.1,0.1,0.0,3,0,24,32,75.0,7,19,1,0,0,18,2019-2020
   Cucho,29,co COL,FW,20-245,34,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,0,0,8,10,80.0,2,9,0,1,0,18,2019-2020
Iddrisu Baba,12,gh GHA,CM,23-333,77,0,0,0,0,0,0,1,0,31,4,3,0,0.0,0.0,0.0,0,0,18,22,81.8,3,15,0,0,0,18,2019-2020
   Aleix Febas,23,es ESP,CM,23-322,13,0,0,0,0,0,0,0,0,15,2,1,0,0.0,0.0,0.0,0,0,9,11,81.8,2,9,0,0,0,18,2019-2020
Takefusa Kubo,26,jp JPN,RM,18-200,90,0,0,0,0,1,0,0,0,52,1,3,0,0.0,0.0,0.6,4,0,20,36,55.6,3,37,4,8,3,18,2019-2020
Lumor Agbenyenu,3,gh GHA,LB,23-128,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.0,2,0,29,42,69.0,7,29,3,0,0,18,2019-2020
Martin Valjent,24,sk SVK,CB,24-010,90,0,0,0,0,0,0,1,0,33,1,2,0,0.0,0.0,0.0,1,0,20,26,76.9,4,21,1,1,1,18,2019-2020
Aleksandar Sedlar,20,rs SRB,CB,28-008,90,0,0,0,0,0,0,1,0,45,0,1,1,0.0,0.0,0.0,0,0,30,36,83.3,1,25,0,0,0,18,2019-2020
Fran Gámez,15,es ESP,RB,28-147,90,0,0,0,0,1,0,1,0,58,5,4,2,0.1,0.1,0.0,0,0,21,41,51.2,2,22,1,4,4,18,2019-2020
Manolo Reina,1,es ESP,GK,34-264,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,18,0,0,0,18,2019-2020
Luis Suárez,9,uy URU,FW,32-331,84,1,3,1,1,1,0,0,0,47,0,0,1,0.8,0.1,0.2,4,3,30,38,78.9,6,19,0,2,0,18,2019-2020
   Carles Pérez,27,es ESP,LW,21-308,6,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,0,0,18,2019-2020
