player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
   James Rodríguez,16,co COL,RW,28-085,8,10,8,2,0,0,0,1,0,2,0,1,0,7,0,0,8,2019-2020
Toni Kroos,8,de GER,LM,29-274,33,36,30,6,3,1,1,4,1,2,0,2,0,33,0,0,8,2019-2020
   Luka Modrić,10,hr CRO,LM,34-026,57,47,42,5,3,0,0,3,0,2,0,2,0,39,0,0,8,2019-2020
Casemiro,14,br BRA,CM,27-224,90,50,47,2,2,0,0,1,0,0,0,0,0,43,1,0,8,2019-2020
Federico Valverde,15,uy URU,RM,21-075,90,43,42,0,0,1,0,0,0,0,0,0,0,34,1,1,8,2019-2020
Dani Carvajal,2,es ESP,LB,27-267,90,57,50,7,0,0,1,0,7,0,0,0,0,50,0,0,8,2019-2020
Sergio Ramos,4,es ESP,CB,33-189,90,56,51,5,5,0,2,0,0,0,0,0,0,50,0,0,8,2019-2020
Raphaël Varane,5,fr FRA,CB,26-163,90,49,46,3,3,1,0,0,0,0,0,0,0,44,0,0,8,2019-2020
Álvaro Odriozola,19,es ESP,RB,23-295,90,42,34,8,1,0,0,3,7,0,0,0,0,38,0,2,8,2019-2020
Alphonse Areola,1,fr FRA,GK,26-220,90,26,19,7,0,0,0,0,0,0,0,0,0,19,0,0,8,2019-2020
Roberto Soldado,9,es ESP,FW,34-131,63,12,8,4,0,0,0,0,0,0,0,0,0,10,0,1,8,2019-2020
   Carlos Fernández,24,es ESP,FW,23-136,27,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,8,2019-2020
Darwin Machís,23,ve VEN,"LM,FW",26-240,90,15,13,2,2,0,0,1,0,0,0,0,0,11,0,0,8,2019-2020
Yangel Herrera,21,ve VEN,CM,21-264,90,30,30,0,0,0,0,0,0,0,0,0,0,27,0,0,8,2019-2020
Ramon Azeez,12,ng NGA,CM,26-297,50,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0,8,2019-2020
   Álvaro Vadillo,7,es ESP,"LM,CM",25-023,40,9,5,4,2,0,0,4,0,2,1,1,0,7,0,0,8,2019-2020
Antonio Puertas,10,es ESP,RM,27-226,90,29,26,3,1,0,0,3,2,0,0,0,0,17,0,1,8,2019-2020
Ángel Montoro,19,es ESP,DM,31-102,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2019-2020
   Maxime Gonalons,4,fr FRA,"DM,CM",30-209,85,33,32,1,1,0,1,0,0,0,0,0,0,30,0,0,8,2019-2020
Carlos Neva,15,es ESP,LB,23-115,90,30,25,5,0,0,0,4,5,0,0,0,0,21,0,2,8,2019-2020
Germán Sánchez,6,es ESP,CB,32-297,90,36,35,1,1,0,0,0,0,0,0,0,0,31,0,0,8,2019-2020
Domingos Duarte,22,pt POR,CB,24-209,90,32,28,4,2,0,0,0,2,0,0,0,0,29,0,0,8,2019-2020
Víctor Díaz,16,es ESP,RB,31-115,90,42,27,15,1,0,0,3,14,0,0,0,0,25,0,1,8,2019-2020
Rui Silva,1,pt POR,GK,25-240,90,36,30,6,3,0,0,0,0,0,0,0,0,25,0,0,8,2019-2020
Maxi Gómez,22,uy URU,FW,23-052,90,17,15,2,0,0,2,1,0,0,0,0,0,6,0,1,8,2019-2020
Rodrigo,19,es ESP,FW,28-213,58,22,21,0,0,0,0,3,0,0,0,0,0,15,1,1,8,2019-2020
   Manu Vallejo,15,es ESP,"RM,FW",22-233,32,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,8,2019-2020
Denis Cheryshev,11,ru RUS,LM,28-283,89,27,26,1,0,0,0,2,1,0,0,0,0,20,0,3,8,2019-2020
