Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Tomáš Vaclík,cz CZE,30-154,90,1,1,0,0.0,0.9,5,7,71.4,16,5,43.8,35.6,1,0.0,26.0,4,1,25.0,1,15.7,3,2019-2020
Rubén Blanco,es ESP,24-036,90,5,1,4,80.0,0.7,6,22,27.3,22,1,63.6,45.6,12,66.7,55.4,25,0,0.0,0,5.0,3,2019-2020
Unai Simón,es ESP,22-080,90,2,0,2,100.0,0.2,5,21,23.8,24,2,75.0,48.2,3,100.0,58.7,4,1,25.0,0,6.0,3,2019-2020
Miguel Ángel Moyá,es ESP,35-150,90,5,2,3,60.0,1.8,2,5,40.0,34,5,8.8,25.2,9,22.2,24.2,6,1,16.7,0,4.0,3,2019-2020
Rubén,es ESP,35-070,90,4,2,2,50.0,0.7,9,28,32.1,18,1,88.9,60.4,12,100.0,69.0,11,0,0.0,0,10.0,3,2019-2020
Marc-André ter Stegen,de GER,27-123,90,5,2,3,80.0,1.6,2,4,50.0,26,4,7.7,21.4,9,22.2,26.4,14,0,0.0,0,17.0,3,2019-2020
Aitor Fernández,es ESP,28-120,90,3,0,3,100.0,0.8,6,16,37.5,18,6,44.4,38.2,11,72.7,50.8,14,0,0.0,0,4.0,3,2019-2020
Jordi Masip,es ESP,30-240,90,3,2,1,33.3,1.8,10,26,38.5,17,4,76.5,46.3,14,92.9,61.8,20,1,5.0,0,7.0,3,2019-2020
David Soria,es ESP,26-149,90,1,1,0,0.0,1.0,8,25,32.0,28,3,67.9,47.2,7,85.7,62.0,3,0,0.0,3,24.0,3,2019-2020
Antonio Sivera,es ESP,23-020,90,1,1,0,0.0,0.6,17,30,56.7,23,2,87.0,55.6,13,76.9,55.3,13,0,0.0,0,5.0,3,2019-2020
Joel Robles,es ESP,29-075,90,7,1,6,85.7,2.1,6,9,66.7,15,2,20.0,26.9,9,66.7,48.6,13,1,7.7,0,10.5,3,2019-2020
Iván Cuéllar,es ESP,35-096,90,5,2,3,60.0,1.8,7,19,36.8,20,4,60.0,47.6,11,63.6,56.6,16,0,0.0,2,16.8,3,2019-2020
Jasper Cillessen,nl NED,30-132,90,1,0,1,100.0,0.2,3,10,30.0,14,4,35.7,32.3,8,62.5,51.3,14,0,0.0,0,,3,2019-2020
Manolo Reina,es ESP,34-153,90,4,2,2,100.0,3.1,3,7,42.9,18,7,27.8,32.3,8,25.0,30.6,17,0,0.0,0,3.0,3,2019-2020
Jan Oblak,si SVN,26-237,90,2,2,0,0.0,1.0,9,17,52.9,21,6,52.4,41.6,11,54.5,43.4,7,1,14.3,0,11.5,3,2019-2020
Marko Dmitrović,rs SRB,27-220,90,3,3,0,0.0,2.3,12,38,31.6,30,3,73.3,54.9,16,100.0,68.4,8,3,37.5,3,17.3,3,2019-2020
Diego López,es ESP,37-302,90,5,3,2,40.0,1.4,4,7,57.1,28,3,17.9,26.1,3,66.7,44.0,7,1,14.3,3,18.4,3,2019-2020
Rui Silva,pt POR,25-206,90,3,0,3,100.0,0.2,7,27,25.9,27,2,51.9,43.6,14,92.9,60.8,26,1,3.8,0,11.0,3,2019-2020
Andrés Fernández,es ESP,32-258,90,5,2,3,60.0,1.4,5,16,31.3,19,6,42.1,34.2,11,72.7,54.7,23,1,4.3,0,6.0,3,2019-2020
Thibaut Courtois,be BEL,27-113,90,5,2,3,60.0,1.1,3,4,75.0,13,4,15.4,22.2,7,28.6,29.4,7,0,0.0,4,19.9,3,2019-2020
