Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Thibaut Courtois,be BEL,27-210,90,2,0,2,100.0,0.4,2,13,15.4,31,8,32.3,32.7,8,37.5,37.3,9,3,33.3,0,8.0,16,2019-2020
Diego López,es ESP,38-034,90,8,2,6,75.0,2.6,16,28,57.1,26,1,73.1,49.6,10,90.0,56.0,13,0,0.0,2,20.0,16,2019-2020
Rui Silva,pt POR,25-303,90,1,0,1,100.0,0.0,7,18,38.9,22,3,59.1,43.9,7,71.4,49.6,8,1,12.5,3,19.0,16,2019-2020
Fernando Pacheco,es ESP,27-203,90,3,3,0,33.3,2.1,6,13,46.2,13,1,53.8,42.5,7,85.7,57.0,14,0,0.0,1,19.7,16,2019-2020
Aitor Fernández,es ESP,28-218,90,6,4,3,33.3,3.5,5,11,45.5,21,5,47.6,42.1,2,50.0,37.5,6,0,0.0,3,20.7,16,2019-2020
Jasper Cillessen,nl NED,30-229,26,3,2,1,66.7,1.1,,2,,9,3,22.2,27.2,1,0.0,18.0,3,,,,2.0,16,2019-2020
Jaume Doménech,es ESP,29-032,64,3,0,3,100.0,0.4,4,5,80.0,9,4,11.1,26.9,9,44.4,35.6,13,0,0.0,0,3.0,16,2019-2020
Marc-André ter Stegen,de GER,27-221,90,3,2,1,33.3,0.9,3,4,75.0,17,1,17.6,27.5,7,14.3,25.7,7,0,0.0,0,7.6,16,2019-2020
Manolo Reina,es ESP,34-250,90,17,5,12,70.6,3.4,5,12,41.7,32,10,31.3,30.5,6,33.3,40.2,15,1,6.7,0,8.4,16,2019-2020
Marko Dmitrović,rs SRB,27-318,90,3,1,2,66.7,1.0,10,27,37.0,28,2,78.6,52.1,5,100.0,68.2,19,3,15.8,0,8.8,16,2019-2020
David Soria,es ESP,26-248,90,3,0,3,100.0,0.7,9,31,29.0,26,0,88.5,55.9,8,100.0,60.8,14,1,7.1,0,7.5,16,2019-2020
Joel Robles,es ESP,29-174,90,2,2,0,50.0,1.2,4,18,22.2,30,5,36.7,33.2,13,53.8,45.3,19,2,10.5,1,12.8,16,2019-2020
Unai Simón,es ESP,22-180,90,6,3,3,50.0,3.5,6,18,33.3,30,3,46.7,38.0,5,80.0,55.2,5,0,0.0,2,27.5,16,2019-2020
Jordi Masip,es ESP,30-339,90,2,0,2,100.0,0.5,8,24,33.3,19,2,73.7,44.9,10,100.0,62.6,15,0,0.0,0,10.0,16,2019-2020
Álex Remiro,es ESP,24-259,90,2,0,2,100.0,0.9,10,13,76.9,28,2,32.1,31.1,5,80.0,59.8,6,0,0.0,1,15.0,16,2019-2020
Iván Cuéllar,es ESP,35-195,90,4,2,2,50.0,1.3,9,23,39.1,24,2,66.7,47.3,7,100.0,62.9,19,0,0.0,2,17.7,16,2019-2020
Rubén Blanco,es ESP,24-136,90,8,3,5,62.5,1.7,2,10,20.0,17,4,47.1,35.5,5,40.0,30.4,13,1,7.7,0,8.7,16,2019-2020
Juan Pérez,es ESP,23-146,90,4,1,3,75.0,0.7,4,9,44.4,18,6,38.9,37.2,4,50.0,36.5,12,0,0.0,0,6.0,16,2019-2020
Tomáš Vaclík,cz CZE,30-254,90,1,1,0,0.0,0.1,4,15,26.7,20,4,35.0,33.1,13,61.5,42.5,11,1,9.1,0,11.0,16,2019-2020
Fernando Pacheco,es ESP,27-209,90,1,1,0,0.0,0.7,5,15,33.3,22,7,45.5,33.4,5,100.0,58.8,7,0,0.0,0,12.3,17,2019-2020
Iván Cuéllar,es ESP,35-200,90,3,1,2,66.7,0.9,8,30,26.7,29,5,79.3,50.3,7,100.0,65.7,20,1,5.0,3,20.6,17,2019-2020
