Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Lucas Vázquez,17,es ESP,"RM,CM",28-075,90,0,0,0,0,2,1,1,0,59,0,0,1,0.1,0.1,0.1,5,2,37,47,78.7,4,37,3,3,2,4,2019-2020
Casemiro,14,br BRA,DM,27-203,59,1,0,0,0,2,1,1,0,55,2,1,1,0.5,0.5,0.0,3,0,39,42,92.9,6,24,0,0,0,4,2019-2020
   Eden Hazard,7,be BEL,"LW,LM",28-250,31,0,0,0,0,2,2,0,0,25,0,0,0,0.1,0.1,0.1,3,0,18,21,85.7,7,23,5,2,1,4,2019-2020
Marcelo,12,br BRA,LB,31-125,90,0,0,0,0,1,0,0,0,90,2,1,3,0.0,0.0,0.2,6,0,70,80,87.5,13,56,4,3,2,4,2019-2020
Sergio Ramos,4,es ESP,CB,33-168,59,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.0,1,0,51,52,98.1,1,36,1,0,0,4,2019-2020
   Éder Militão,3,br BRA,CB,21-239,31,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,14,15,93.3,1,8,0,0,0,4,2019-2020
Raphaël Varane,5,fr FRA,CB,26-142,90,0,0,0,0,0,0,0,0,81,2,1,0,0.0,0.0,0.0,0,0,69,73,94.5,3,42,0,0,0,4,2019-2020
Dani Carvajal,2,es ESP,RB,27-246,90,0,1,0,0,0,0,0,0,97,3,3,3,0.0,0.0,0.3,1,1,73,82,89.0,7,45,0,1,1,4,2019-2020
Thibaut Courtois,13,be BEL,GK,27-126,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,0,23,0,0,0,4,2019-2020
Karim Benzema,9,fr FRA,FW,31-269,82,2,0,0,0,7,4,0,0,53,1,0,0,0.9,0.9,0.0,4,0,34,41,82.9,5,35,2,2,1,4,2019-2020
   Luka Jović,18,rs SRB,FW,21-265,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,2,4,0,0,0,4,2019-2020
Vinicius Júnior,25,br BRA,"LM,RW,RM",19-064,90,0,1,0,0,5,2,0,0,44,0,0,0,1.0,1.0,0.5,3,1,24,31,77.4,1,33,4,4,2,4,2019-2020
Toni Kroos,8,de GER,"CM,DM",29-253,90,0,0,0,0,3,1,0,0,92,3,0,1,0.2,0.2,0.2,8,0,81,83,97.6,18,54,2,1,0,4,2019-2020
James Rodríguez,16,co COL,"CM,LM",28-064,90,0,1,0,0,3,0,0,0,86,3,0,1,0.2,0.2,1.0,7,1,58,75,77.3,10,51,2,0,0,4,2019-2020
Lucas Vázquez,17,es ESP,"RM,CM",28-075,90,0,0,0,0,2,1,1,0,59,0,0,1,0.1,0.1,0.1,5,2,37,47,78.7,4,37,3,3,2,4,2019-2020
Casemiro,14,br BRA,DM,27-203,59,1,0,0,0,2,1,1,0,55,2,1,1,0.5,0.5,0.0,3,0,39,42,92.9,6,24,0,0,0,4,2019-2020
   Eden Hazard,7,be BEL,"LW,LM",28-250,31,0,0,0,0,2,2,0,0,25,0,0,0,0.1,0.1,0.1,3,0,18,21,85.7,7,23,5,2,1,4,2019-2020
Marcelo,12,br BRA,LB,31-125,90,0,0,0,0,1,0,0,0,90,2,1,3,0.0,0.0,0.2,6,0,70,80,87.5,13,56,4,3,2,4,2019-2020
Sergio Ramos,4,es ESP,CB,33-168,59,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.0,1,0,51,52,98.1,1,36,1,0,0,4,2019-2020
   Éder Militão,3,br BRA,CB,21-239,31,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,14,15,93.3,1,8,0,0,0,4,2019-2020
Raphaël Varane,5,fr FRA,CB,26-142,90,0,0,0,0,0,0,0,0,81,2,1,0,0.0,0.0,0.0,0,0,69,73,94.5,3,42,0,0,0,4,2019-2020
Dani Carvajal,2,es ESP,RB,27-246,90,0,1,0,0,0,0,0,0,97,3,3,3,0.0,0.0,0.3,1,1,73,82,89.0,7,45,0,1,1,4,2019-2020
Thibaut Courtois,13,be BEL,GK,27-126,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,0,23,0,0,0,4,2019-2020
Youssef En-Nesyri,26,ma MAR,FW,22-105,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,9,13,69.2,1,9,1,3,1,4,2019-2020
   Guido Carrillo,18,ar ARG,FW,28-112,45,0,0,0,0,1,1,0,0,18,0,0,1,0.1,0.1,0.0,0,0,9,13,69.2,1,12,0,1,0,4,2019-2020
Martin Braithwaite,7,dk DEN,FW,28-101,90,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.1,2,0,16,18,88.9,8,18,2,5,3,4,2019-2020
José Arnaiz,10,es ESP,LM,24-152,90,0,0,0,0,4,1,0,0,35,3,0,2,0.1,0.1,0.0,1,0,16,21,76.2,1,24,3,3,2,4,2019-2020
Rubén Pérez,21,es ESP,CM,30-141,90,0,0,0,0,0,0,1,0,76,0,1,0,0.0,0.0,0.0,1,0,65,72,90.3,15,51,0,0,0,4,2019-2020
Roque Mesa,6,es ESP,CM,30-099,90,0,0,0,0,2,0,1,0,75,1,0,0,0.1,0.1,0.1,4,0,51,67,76.1,8,49,3,3,2,4,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-078,61,0,0,0,0,2,2,0,0,38,2,0,1,0.1,0.1,0.0,2,0,19,28,67.9,3,24,1,0,0,4,2019-2020
   Aitor Ruibal,19,es ESP,"RM,RB",23-176,29,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,12,15,80.0,1,15,1,1,0,4,2019-2020
Jonathan Silva,5,ar ARG,LB,25-077,90,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,2,0,43,61,70.5,2,35,4,0,0,4,2019-2020
Dimitris Siovas,22,gr GRE,CB,30-363,90,0,0,0,0,1,0,0,0,60,1,0,0,0.1,0.1,0.0,2,0,40,49,81.6,6,37,2,0,0,4,2019-2020
Chidozie Awaziem,12,ng NGA,CB,22-256,90,0,0,0,0,0,0,0,0,64,2,1,1,0.0,0.0,0.0,0,0,41,54,75.9,4,39,1,0,0,4,2019-2020
