player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Paco Alcácer,17,es ESP,FW,26-297,87,1,0,0,0,1,1,0,0,27,0,0,0,0.5,0.5,0.1,1,0,18,21,85.7,3,13,1,3,3,31,2019-2020
   Bruno Soriano,21,es ESP,"DM,FW",36-010,3,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,2,0,0,0,31,2019-2020
Gerard Moreno,7,es ESP,FW,28-076,71,0,0,0,0,1,1,0,0,41,0,0,1,0.1,0.1,0.3,1,0,22,32,68.8,1,22,1,3,2,31,2019-2020
   Manu Trigueros,14,es ESP,"AM,FW",28-249,19,0,0,0,0,0,0,1,0,10,0,0,1,0.0,0.0,0.0,1,0,5,7,71.4,2,3,0,0,0,31,2019-2020
Santi Cazorla,8,es ESP,LM,35-192,56,0,1,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.2,2,1,23,30,76.7,1,20,0,3,2,31,2019-2020
   Moi Gómez,23,es ESP,"LW,LM",25-365,34,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.0,0,0,15,20,75.0,1,17,1,2,0,31,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,"CM,DM",24-219,90,0,0,0,0,1,1,0,0,44,2,3,1,0.3,0.3,0.0,1,1,32,32,100.0,2,21,1,4,3,31,2019-2020
Vicente Iborra,10,es ESP,"CM,DM",32-158,87,0,0,0,0,0,0,0,0,48,0,0,4,0.0,0.0,0.0,1,0,32,38,84.2,6,17,0,1,0,31,2019-2020
   Carlos Bacca,9,co COL,"FW,DM",33-288,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,31,2019-2020
Samuel Chukwueze,11,ng NGA,RM,21-031,71,0,0,0,0,1,0,0,0,46,2,0,2,0.0,0.0,0.0,3,0,22,30,73.3,1,28,4,4,2,31,2019-2020
   Javier Ontiveros,24,es ESP,"RW,RM",22-287,19,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,6,1,1,1,31,2019-2020
Alberto Moreno,18,es ESP,LB,27-353,90,0,0,0,0,0,0,1,0,63,1,2,0,0.0,0.0,0.0,0,0,42,52,80.8,1,25,0,0,0,31,2019-2020
Pau Torres,4,es ESP,CB,23-158,90,1,0,0,0,2,1,0,0,65,1,1,1,0.2,0.2,0.0,0,0,43,54,79.6,3,39,1,0,0,31,2019-2020
Raúl Albiol,3,es ESP,CB,34-292,90,0,0,0,0,0,0,0,0,49,0,3,0,0.0,0.0,0.0,0,0,33,42,78.6,2,24,0,0,0,31,2019-2020
Mario Gaspar,2,es ESP,RB,29-211,90,0,0,0,0,0,0,0,0,62,2,1,1,0.0,0.0,0.0,1,0,40,53,75.5,3,18,2,1,0,31,2019-2020
Sergio Asenjo,1,es ESP,GK,30-360,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,14,23,60.9,0,9,0,0,0,31,2019-2020
Youssef En-Nesyri,15,ma MAR,FW,23-021,80,0,0,0,0,0,0,0,0,18,2,0,1,0.0,0.0,0.1,1,0,9,12,75.0,0,5,1,0,0,31,2019-2020
   Luuk de Jong,19,nl NED,FW,29-300,10,0,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,2,0,0,0,31,2019-2020
Rony Lopes,7,pt POR,LW,24-177,45,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,1,1,15,16,93.8,1,14,1,2,1,31,2019-2020
   Munir El Haddadi,11,ma MAR,LW,24-295,45,1,0,0,0,2,1,0,0,29,3,1,0,0.1,0.1,0.1,3,0,18,23,78.3,2,21,4,1,1,31,2019-2020
Suso,14,es ESP,RW,26-216,45,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,2,0,12,19,63.2,3,17,0,0,0,31,2019-2020
   Lucas Ocampos,5,ar ARG,RW,25-347,45,0,0,0,0,1,1,1,0,29,0,1,0,0.0,0.0,0.1,4,0,21,23,91.3,2,22,4,1,1,31,2019-2020
Éver Banega,10,ar ARG,LM,31-359,90,0,0,0,0,1,0,0,0,102,2,1,0,0.0,0.0,0.1,3,0,79,97,81.4,11,71,3,3,3,31,2019-2020
